학교ID,학교명,gu,current_students_2025,cohort_change_2029,cohort_change_2031,model1_forecast_2029,model2_forecast_2029,model1_forecast_2031,model2_forecast_2031
B000003080,인천동부초등학교,남동구,414,0.4707510503206492,0.2571381390250187,304,254,245,188
B000003079,인천만수북초등학교,남동구,607,0.4707510503206492,0.2571381390250187,296,361,161,264
B000003082,인천만수초등학교,남동구,200,0.4707510503206492,0.2571381390250187,163,122,140,90
B000025193,인천만월초등학교,남동구,1019,0.4707510503206492,0.2571381390250187,631,613,408,451
B000003088,인천사리울초등학교,남동구,519,0.4707510503206492,0.2571381390250187,368,323,302,241
B000003076,인천상아초등학교,남동구,630,0.4707510503206492,0.2571381390250187,371,379,240,279
B000003099,인천새말초등학교,남동구,358,0.4707510503206492,0.2571381390250187,239,218,204,161
B000003105,인천서창초등학교,남동구,735,0.4707510503206492,0.2571381390250187,367,435,155,318
B000003078,인천석정초등학교,남동구,793,0.4707510503206492,0.2571381390250187,616,491,517,365
B000003093,인천석천초등학교,남동구,982,0.4707510503206492,0.2571381390250187,768,612,639,455
B000003071,인천성리초등학교,남동구,557,0.4707510503206492,0.2571381390250187,343,335,238,246
B000003096,인천소래초등학교,남동구,505,0.4707510503206492,0.2571381390250187,390,320,325,240
B000003092,인천송천초등학교,남동구,320,0.4707510503206492,0.2571381390250187,178,190,149,139
B000003094,인천신월초등학교,남동구,223,0.4707510503206492,0.2571381390250187,141,131,125,96
B000003090,인천약산초등학교,남동구,587,0.4707510503206492,0.2571381390250187,447,373,367,279
B000003087,인천원동초등학교,남동구,850,0.4707510503206492,0.2571381390250187,376,502,173,367
B000003084,인천은봉초등학교,남동구,362,0.4707510503206492,0.2571381390250187,236,220,182,163
B000003101,인천인동초등학교,남동구,771,0.4707510503206492,0.2571381390250187,448,464,303,341
B000003081,인천인수초등학교,남동구,252,0.4707510503206492,0.2571381390250187,149,152,91,112
B000003085,인천장도초등학교,남동구,267,0.4707510503206492,0.2571381390250187,150,161,95,118
B000025196,인천장서초등학교,남동구,1358,0.4707510503206492,0.2571381390250187,1138,852,998,635
B000003102,인천장수초등학교,남동구,103,0.4707510503206492,0.2571381390250187,21,60,9,43
B000025202,인천장아초등학교,남동구,896,0.4707510503206492,0.2571381390250187,748,558,643,416
B000003073,인천정각초등학교,남동구,950,0.4707510503206492,0.2571381390250187,546,572,321,420
B000003100,인천조동초등학교,남동구,387,0.4707510503206492,0.2571381390250187,216,229,138,167
B000003091,인천주원초등학교,남동구,242,0.4707510503206492,0.2571381390250187,170,153,133,114
B000022832,인천한빛초등학교,남동구,923,0.4707510503206492,0.2571381390250187,586,563,426,416
B000002970,영화초등학교,동구,373,0.4896104184286771,0.2874765092065711,376,263,412,206
B000002969,인천동명초등학교,동구,438,0.4896104184286771,0.2874765092065711,408,301,403,233
B000002963,인천만석초등학교,동구,263,0.4896104184286771,0.2874765092065711,103,156,43,115
B000002968,인천서림초등학교,동구,488,0.4896104184286771,0.2874765092065711,303,303,229,227
B000002967,인천서흥초등학교,동구,329,0.4896104184286771,0.2874765092065711,162,195,118,144
B000002966,인천송림초등학교,동구,434,0.4896104184286771,0.2874765092065711,454,291,387,225
B000002964,인천송현초등학교,동구,347,0.4896104184286771,0.2874765092065711,151,203,75,149
B000002965,인천창영초등학교,동구,244,0.4896104184286771,0.2874765092065711,243,166,236,129
B000002981,인천경원초등학교,미추홀구,941,0.90451993467452,0.8662626373940179,645,689,504,580
B000002980,인천관교초등학교,미추홀구,431,0.90451993467452,0.8662626373940179,283,310,222,259
B000002983,인천남부초등학교,미추홀구,349,0.90451993467452,0.8662626373940179,191,245,123,203
B000002986,인천대화초등학교,미추홀구,366,0.90451993467452,0.8662626373940179,253,267,223,225
B000002978,인천도화초등학교,미추홀구,843,0.90451993467452,0.8662626373940179,707,636,638,541
B000002979,인천문학초등학교,미추홀구,551,0.90451993467452,0.8662626373940179,400,406,332,343
B000002977,인천백학초등학교,미추홀구,297,0.90451993467452,0.8662626373940179,243,235,287,204
B000002985,인천서화초등학교,미추홀구,1341,0.90451993467452,0.8662626373940179,1467,1058,1509,916
B000002982,인천석암초등학교,미추홀구,902,0.90451993467452,0.8662626373940179,940,700,938,603
B000002971,인천숭의초등학교,미추홀구,1154,0.90451993467452,0.8662626373940179,1039,867,968,737
B000002984,인천승학초등학교,미추홀구,341,0.90451993467452,0.8662626373940179,220,247,165,207
B000002992,인천연학초등학교,미추홀구,371,0.90451993467452,0.8662626373940179,438,315,442,282
B000002973,인천용일초등학교,미추홀구,366,0.90451993467452,0.8662626373940179,250,264,199,221
B000002972,인천용정초등학교,미추홀구,214,0.90451993467452,0.8662626373940179,240,164,249,140
B000025512,인천용학초등학교,미추홀구,1192,0.90451993467452,0.8662626373940179,1119,933,1100,804
B000002975,인천용현남초등학교,미추홀구,1149,0.90451993467452,0.8662626373940179,1020,913,998,791
B000002974,인천용현초등학교,미추홀구,1403,0.90451993467452,0.8662626373940179,1415,1128,1429,983
B000002991,인천인주초등학교,미추홀구,418,0.90451993467452,0.8662626373940179,251,297,168,247
B000002989,인천주안남초등학교,미추홀구,426,0.90451993467452,0.8662626373940179,303,307,247,257
B000002987,인천주안북초등학교,미추홀구,362,0.90451993467452,0.8662626373940179,309,280,287,240
B000025677,인천주안초등학교,미추홀구,869,0.90451993467452,0.8662626373940179,956,710,988,624
B000002976,인천학산초등학교,미추홀구,835,0.90451993467452,0.8662626373940179,682,633,618,540
B000002990,인천학익초등학교,미추홀구,369,0.90451993467452,0.8662626373940179,278,267,227,224
B000003011,인천갈산초등학교,부평구,190,0.8233957749403983,0.7542296860976732,110,135,68,112
B000003024,인천갈월초등학교,부평구,474,0.8233957749403983,0.7542296860976732,327,339,262,281
B000003043,인천개흥초등학교,부평구,316,0.8233957749403983,0.7542296860976732,235,230,206,192
B000003015,인천구산초등학교,부평구,285,0.8233957749403983,0.7542296860976732,181,198,143,162
B000003046,인천굴포초등학교,부평구,749,0.8233957749403983,0.7542296860976732,543,537,444,446
B000003021,인천금마초등학교,부평구,273,0.8233957749403983,0.7542296860976732,173,198,129,165
B000003009,인천대정초등학교,부평구,471,0.8233957749403983,0.7542296860976732,228,327,119,268
B000003026,인천동수초등학교,부평구,617,0.8233957749403983,0.7542296860976732,546,468,514,397
B000003040,인천동암초등학교,부평구,295,0.8233957749403983,0.7542296860976732,209,211,191,176
B000003008,인천마곡초등학교,부평구,119,0.8233957749403983,0.7542296860976732,222,95,220,82
B000003042,인천마장초등학교,부평구,543,0.8233957749403983,0.7542296860976732,393,393,335,328
B000003034,인천미산초등학교,부평구,219,0.8233957749403983,0.7542296860976732,142,153,102,126
B000003039,인천백운초등학교,부평구,478,0.8233957749403983,0.7542296860976732,374,357,333,301
B000003018,인천부개서초등학교,부평구,1054,0.8233957749403983,0.7542296860976732,1173,812,1174,693
B000003025,인천부개초등학교,부평구,195,0.8233957749403983,0.7542296860976732,273,137,225,112
B000003007,인천부곡초등학교,부평구,912,0.8233957749403983,0.7542296860976732,598,647,454,536
B000003019,인천부광초등학교,부평구,350,0.8233957749403983,0.7542296860976732,311,254,285,213
B000003017,인천부내초등학교,부평구,555,0.8233957749403983,0.7542296860976732,396,400,324,333
B000003033,인천부마초등학교,부평구,654,0.8233957749403983,0.7542296860976732,520,478,461,400
B000003027,인천부원초등학교,부평구,602,0.8233957749403983,0.7542296860976732,447,436,368,364
B000003016,인천부일초등학교,부평구,276,0.8233957749403983,0.7542296860976732,205,196,190,162
B000003030,인천부평남초등학교,부평구,768,0.8233957749403983,0.7542296860976732,591,565,524,474
B000003029,인천부평동초등학교,부평구,831,0.8233957749403983,0.7542296860976732,741,604,675,505
B000003023,인천부평북초등학교,부평구,282,0.8233957749403983,0.7542296860976732,230,200,203,166
B000003006,인천부평서초등학교,부평구,687,0.8233957749403983,0.7542296860976732,548,506,494,424
B000003028,인천부흥초등학교,부평구,1016,0.8233957749403983,0.7542296860976732,1003,767,992,649
B000003035,인천산곡남초등학교,부평구,417,0.8233957749403983,0.7542296860976732,270,297,213,246
B000003031,인천산곡북초등학교,부평구,515,0.8233957749403983,0.7542296860976732,530,425,553,373
B000003032,인천산곡초등학교,부평구,427,0.8233957749403983,0.7542296860976732,504,345,504,300
B000003044,인천삼산초등학교,부평구,502,0.8233957749403983,0.7542296860976732,408,367,355,307
B000003022,인천상정초등학교,부평구,288,0.8233957749403983,0.7542296860976732,386,218,370,185
B000003036,인천신촌초등학교,부평구,328,0.8233957749403983,0.7542296860976732,312,248,306,211
B000003038,인천십정초등학교,부평구,179,0.8233957749403983,0.7542296860976732,179,125,201,103
B000003013,인천영선초등학교,부평구,612,0.8233957749403983,0.7542296860976732,454,439,368,365
B000003041,인천용마초등학교,부평구,495,0.8233957749403983,0.7542296860976732,456,365,422,307
B000003020,인천일신초등학교,부평구,278,0.8233957749403983,0.7542296860976732,210,196,191,161
B000003014,인천진산초등학교,부평구,207,0.8233957749403983,0.7542296860976732,72,144,32,119
B000003010,인천청천초등학교,부평구,1019,0.8233957749403983,0.7542296860976732,1107,956,1267,876
B000003037,인천하정초등학교,부평구,470,0.8233957749403983,0.7542296860976732,719,415,761,373
B000003045,인천한길초등학교,부평구,447,0.8233957749403983,0.7542296860976732,278,312,197,256
B000003012,인천후정초등학교,부평구,297,0.8233957749403983,0.7542296860976732,154,206,87,168
B000003047,한일초등학교,부평구,317,0.8233957749403983,0.7542296860976732,339,245,345,210
B000003148,인천가림초등학교,서구,198,1.060812779691576,1.0833372217020765,150,146,121,124
B000003162,인천가석초등학교,서구,209,1.060812779691576,1.0833372217020765,94,159,43,137
B000026333,인천가원초등학교,서구,1558,1.060812779691576,1.0833372217020765,1564,1257,1541,1108
B000003164,인천가정초등학교,서구,664,1.060812779691576,1.0833372217020765,548,529,491,464
