school_id,school_name,scenario,nearest_eligible_park_name_straight,nearest_eligible_park_class,nearest_eligible_park_area_m2,nearest_eligible_park_dist_m_straight
B000003112,인천성지초등학교,exclude_playground_like,효성공원,neighborhood_park_scale,10877.0,389.4
B000003112,인천성지초등학교,exclude_playground_and_small_child,효성공원,neighborhood_park_scale,10877.0,389.4
B000003120,인천당산초등학교,baseline_all_classes,동양택지2공원,small_child_park,1930.2,101.2
B000003120,인천당산초등학교,exclude_playground_like,동양택지2공원,small_child_park,1930.2,101.2
B000003120,인천당산초등학교,exclude_playground_and_small_child,동양공원,neighborhood_park_scale,16261.4,315.3
B000002967,인천서흥초등학교,baseline_all_classes,돌산공원,mid_activity_park,8111.0,467.7
B000002967,인천서흥초등학교,exclude_playground_like,돌산공원,mid_activity_park,8111.0,467.7
B000002967,인천서흥초등학교,exclude_playground_and_small_child,돌산공원,mid_activity_park,8111.0,467.7
B000003192,교동초등학교,baseline_all_classes,남산근린공원,neighborhood_park_scale,103240.0,18152.5
B000003192,교동초등학교,exclude_playground_like,남산근린공원,neighborhood_park_scale,103240.0,18152.5
B000003192,교동초등학교,exclude_playground_and_small_child,남산근린공원,neighborhood_park_scale,103240.0,18152.5
B000003134,인천경명초등학교,baseline_all_classes,백조자리공원,small_child_park,1544.8,480.6
B000003134,인천경명초등학교,exclude_playground_like,백조자리공원,small_child_park,1544.8,480.6
B000003134,인천경명초등학교,exclude_playground_and_small_child,물병자리공원,neighborhood_park_scale,88118.9,500.6
B000003184,삼성초등학교,baseline_all_classes,남산근린공원,neighborhood_park_scale,103240.0,4685.6
B000003184,삼성초등학교,exclude_playground_like,남산근린공원,neighborhood_park_scale,103240.0,4685.6
B000003184,삼성초등학교,exclude_playground_and_small_child,남산근린공원,neighborhood_park_scale,103240.0,4685.6
B000022839,인천청일초등학교,baseline_all_classes,청라호수공원,neighborhood_park_scale,690573.9,177.5
B000022839,인천청일초등학교,exclude_playground_like,청라호수공원,neighborhood_park_scale,690573.9,177.5
B000022839,인천청일초등학교,exclude_playground_and_small_child,청라호수공원,neighborhood_park_scale,690573.9,177.5
B000026471,인천신검단초등학교,baseline_all_classes,산들바람공원,neighborhood_park_scale,63663.4,886.3
B000026471,인천신검단초등학교,exclude_playground_like,산들바람공원,neighborhood_park_scale,63663.4,886.3
B000026471,인천신검단초등학교,exclude_playground_and_small_child,산들바람공원,neighborhood_park_scale,63663.4,886.3
B000003141,인천양지초등학교,baseline_all_classes,용두공원,playground_like,1347.0,145.4
B000003141,인천양지초등학교,exclude_playground_like,샘내공원,mid_activity_park,3109.0,197.0
B000003141,인천양지초등학교,exclude_playground_and_small_child,샘내공원,mid_activity_park,3109.0,197.0
B000003190,삼산초등학교,baseline_all_classes,남산근린공원,neighborhood_park_scale,103240.0,14648.1
B000003190,삼산초등학교,exclude_playground_like,남산근린공원,neighborhood_park_scale,103240.0,14648.1
B000003190,삼산초등학교,exclude_playground_and_small_child,남산근린공원,neighborhood_park_scale,103240.0,14648.1
B000026467,인천해든초등학교,baseline_all_classes,해든공원,mid_activity_park,8251.8,94.2
B000026467,인천해든초등학교,exclude_playground_like,해든공원,mid_activity_park,8251.8,94.2
B000026467,인천해든초등학교,exclude_playground_and_small_child,해든공원,mid_activity_park,8251.8,94.2
B000003083,인천도림초등학교,baseline_all_classes,오봉공원,playground_like,1429.0,78.5
B000003083,인천도림초등학교,exclude_playground_like,오봉공원,neighborhood_park_scale,10256.0,78.5
B000003083,인천도림초등학교,exclude_playground_and_small_child,오봉공원,neighborhood_park_scale,10256.0,78.5
B000003177,대월초등학교,baseline_all_classes,관청근린공원,neighborhood_park_scale,83454.0,1311.1
B000003177,대월초등학교,exclude_playground_like,관청근린공원,neighborhood_park_scale,83454.0,1311.1
B000003177,대월초등학교,exclude_playground_and_small_child,관청근린공원,neighborhood_park_scale,83454.0,1311.1
B000002997,북포초등학교,baseline_all_classes,인스파이어호텔 패밀리파크 어린이놀이터,playground_like,,160751.8
B000002997,북포초등학교,exclude_playground_like,남산근린공원,neighborhood_park_scale,103240.0,161863.4
B000002997,북포초등학교,exclude_playground_and_small_child,남산근린공원,neighborhood_park_scale,103240.0,161863.4
B000003094,인천신월초등학교,baseline_all_classes,남동문화공원,neighborhood_park_scale,34679.0,164.7
B000003094,인천신월초등학교,exclude_playground_like,남동문화공원,neighborhood_park_scale,34679.0,164.7
B000003094,인천신월초등학교,exclude_playground_and_small_child,남동문화공원,neighborhood_park_scale,34679.0,164.7
B000003171,인천검암초등학교,baseline_all_classes,상동공원,neighborhood_park_scale,12475.0,194.0
B000003171,인천검암초등학교,exclude_playground_like,상동공원,neighborhood_park_scale,12475.0,194.0
B000003171,인천검암초등학교,exclude_playground_and_small_child,상동공원,neighborhood_park_scale,12475.0,194.0
B000022834,인천청람초등학교,baseline_all_classes,물병자리공원,neighborhood_park_scale,88118.9,232.5
B000022834,인천청람초등학교,exclude_playground_like,물병자리공원,neighborhood_park_scale,88118.9,232.5
B000022834,인천청람초등학교,exclude_playground_and_small_child,물병자리공원,neighborhood_park_scale,88118.9,232.5
B000003169,인천신현초등학교,baseline_all_classes,석남체육공원,neighborhood_park_scale,10880.0,600.4
B000003169,인천신현초등학교,exclude_playground_like,석남체육공원,neighborhood_park_scale,10880.0,600.4
B000003169,인천신현초등학교,exclude_playground_and_small_child,석남체육공원,neighborhood_park_scale,10880.0,600.4
B000003085,인천장도초등학교,baseline_all_classes,동녘공원,small_child_park,1740.0,174.4
B000003085,인천장도초등학교,exclude_playground_like,동녘공원,small_child_park,1740.0,174.4
B000003085,인천장도초등학교,exclude_playground_and_small_child,너른들공원,mid_activity_park,3294.0,430.3
B000003161,인천금곡초등학교,baseline_all_classes,왕길새싹공원,mid_activity_park,3309.0,330.9
B000003161,인천금곡초등학교,exclude_playground_like,왕길새싹공원,mid_activity_park,3309.0,330.9
B000003161,인천금곡초등학교,exclude_playground_and_small_child,왕길새싹공원,mid_activity_park,3309.0,330.9
B000025256,인천송원초등학교,baseline_all_classes,국제화복합단지 1호 근린공원,neighborhood_park_scale,83541.5,267.4
B000025256,인천송원초등학교,exclude_playground_like,국제화복합단지 1호 근린공원,neighborhood_park_scale,83541.5,267.4
B000025256,인천송원초등학교,exclude_playground_and_small_child,국제화복합단지 1호 근린공원,neighborhood_park_scale,83541.5,267.4
B000003004,인천남부초등학교이작분교장,baseline_all_classes,인스파이어호텔 패밀리파크 어린이놀이터,playground_like,,33813.9
B000003004,인천남부초등학교이작분교장,exclude_playground_like,랜드마크시티 3호 수변공원,neighborhood_park_scale,60158.0,39699.3
B000003004,인천남부초등학교이작분교장,exclude_playground_and_small_child,랜드마크시티 3호 수변공원,neighborhood_park_scale,60158.0,39699.3
B000003183,불은초등학교,baseline_all_classes,남산근린공원,neighborhood_park_scale,103240.0,6506.1
B000003183,불은초등학교,exclude_playground_like,남산근린공원,neighborhood_park_scale,103240.0,6506.1
B000003183,불은초등학교,exclude_playground_and_small_child,남산근린공원,neighborhood_park_scale,103240.0,6506.1
B000003082,인천만수초등학교,baseline_all_classes,시영공원,small_child_park,1500.0,162.3
B000003082,인천만수초등학교,exclude_playground_like,시영공원,small_child_park,1500.0,162.3
B000003082,인천만수초등학교,exclude_playground_and_small_child,담방문화공원,mid_activity_park,7126.0,162.9
B000002980,인천관교초등학교,baseline_all_classes,관교공원,small_child_park,1698.7,175.4
B000002980,인천관교초등학교,exclude_playground_like,관교공원,small_child_park,1698.7,175.4
B000002980,인천관교초등학교,exclude_playground_and_small_child,구월문화공원,mid_activity_park,3718.0,540.8
B000003110,인천해서초등학교,baseline_all_classes,고향골공원,playground_like,1485.4,165.4
B000003110,인천해서초등학교,exclude_playground_like,갈개공원,mid_activity_park,7437.0,566.9
B000003110,인천해서초등학교,exclude_playground_and_small_child,갈개공원,mid_activity_park,7437.0,566.9
B000025196,인천장서초등학교,baseline_all_classes,흰여울공원,small_child_park,1587.0,132.8
B000025196,인천장서초등학교,exclude_playground_like,흰여울공원,small_child_park,1587.0,132.8
B000025196,인천장서초등학교,exclude_playground_and_small_child,어울공원,neighborhood_park_scale,42487.0,193.1
B000003045,인천한길초등학교,baseline_all_classes,나래놀이공원,playground_like,913.0,90.0
B000003045,인천한길초등학교,exclude_playground_like,도드리놀이공원,mid_activity_park,3239.0,166.2
B000003045,인천한길초등학교,exclude_playground_and_small_child,도드리놀이공원,mid_activity_park,3239.0,166.2
B000003167,인천석남서초등학교,baseline_all_classes,석남공원,small_child_park,2290.0,675.6
B000003167,인천석남서초등학교,exclude_playground_like,석남공원,small_child_park,2290.0,675.6
B000003167,인천석남서초등학교,exclude_playground_and_small_child,감중공원,mid_activity_park,5572.0,831.5
