school_id,school_name,gu,case_type,case_label,is_separate_bundle_tag,iso_green_ratio,iso_official_park_count,iso_playground_like_count,iso_small_child_park_count,iso_functional_park_count,nearest_official_park_dist_m,nearest_official_park_name,nearest_official_park_function_class,nearest_functional_park_dist_m,nearest_functional_park_name,nearest_functional_park_function_class,access_condition_type,access_condition_label,baseline_all_classes,exclude_playground_and_small_child,exclude_playground_like,baseline_all_classes_count,exclude_playground_like_count,exclude_playground_and_small_child_count,baseline_all_classes_case_type,baseline_all_classes_case_label_en,baseline_all_classes_priority_score,exclude_playground_like_case_type,exclude_playground_like_case_label_en,exclude_playground_like_priority_score,exclude_playground_and_small_child_case_type,exclude_playground_and_small_child_case_label_en,exclude_playground_and_small_child_priority_score,stored_current_case_type_norm,exclude_playground_like_changed_vs_stored_current,exclude_playground_like_changed_vs_same_basis_baseline,exclude_playground_and_small_child_changed_vs_stored_current,exclude_playground_and_small_child_changed_vs_same_basis_baseline
B000002979,인천문학초등학교,미추홀구,3.0,"접근 가능, 중간 수준",0,2.008905771584397,2,2,0,0,241.4,소성어린이공원,playground_like,370.3,삼호어린이공원,mid_activity_park,near_park_low_green_imbalance,근접 공원-녹지환경 불균형형,100.8,305.4,305.4,2,0,0,3,case3_access_mid_green,2.0,3,case3_access_mid_green,2.0,3,case3_access_mid_green,2.0,3,False,False,False,False
B000002980,인천관교초등학교,미추홀구,3.0,"접근 가능, 중간 수준",0,1.6718030258424468,4,0,4,0,201.4,관교공원,small_child_park,736.9,구월문화공원,mid_activity_park,nominal_access_only,명목 접근성 착시형,175.4,540.8,175.4,4,4,0,3,case3_access_mid_green,2.0,3,case3_access_mid_green,2.0,,,,3,False,False,True,True
B000002981,인천경원초등학교,미추홀구,2.0,접근 가능하나 녹지 부족,0,0.5142,2,1,1,0,73.2,비선거리공원,playground_like,754.4,하늘새어린이공원,mid_activity_park,nominal_access_only,명목 접근성 착시형,84.2,627.5,84.2,2,1,0,2,case2_access_low_green,3.0,2,case2_access_low_green,3.0,,,,2,False,False,True,True
B000002982,인천석암초등학교,미추홀구,1.0,공원 접근 결핍,0,0.0,0,0,0,0,947.1,주안공원,mid_activity_park,947.1,주안공원,mid_activity_park,no_official_park,공원 접근 결핍형,581.1,670.2,670.2,0,0,0,1,case1_access_deficit,4.0,1,case1_access_deficit,4.0,1,case1_access_deficit,4.0,1,False,False,False,False
B000002983,인천남부초등학교,미추홀구,2.0,접근 가능하나 녹지 부족,0,0.5679379393550057,1,0,1,0,305.0,사미공원,small_child_park,708.7,승기어린이공원,mid_activity_park,nominal_access_only,명목 접근성 착시형,281.5,387.5,281.5,1,1,0,2,case2_access_low_green,3.0,2,case2_access_low_green,3.0,2,case2_access_low_green,3.0,2,False,False,False,False
B000002984,인천승학초등학교,미추홀구,4.0,접근 양호,0,71.4070674088551,1,0,0,1,346.7,중앙공원,neighborhood_park_scale,346.7,중앙공원,neighborhood_park_scale,functional_access_with_barrier,보행부담 동반형,190.1,190.1,190.1,1,1,1,4,case4_good_access,1.0,4,case4_good_access,1.0,4,case4_good_access,1.0,4,False,False,False,False
B000002985,인천서화초등학교,미추홀구,4.0,접근 양호,0,5.853468603507503,3,1,0,2,249.1,배말근린공원,neighborhood_park_scale,249.1,배말근린공원,neighborhood_park_scale,functional_access_available,활동규모 공원 접근 가능형,138.2,138.2,138.2,3,2,2,4,case4_good_access,1.0,4,case4_good_access,1.0,3,case3_access_mid_green,2.0,4,False,False,True,True
B000002986,인천대화초등학교,미추홀구,2.0,접근 가능하나 녹지 부족,0,0.6191373845422502,1,0,1,0,254.6,쑥골공원,small_child_park,670.4,화동공원,neighborhood_park_scale,nominal_access_only,명목 접근성 착시형,264.5,556.1,264.5,1,1,0,2,case2_access_low_green,3.0,2,case2_access_low_green,3.0,,,,2,False,False,True,True
B000002987,인천주안북초등학교,미추홀구,2.0,접근 가능하나 녹지 부족,0,0.0,0,0,0,0,279.4,염창공원,small_child_park,1026.4,돌샘어린이공원,mid_activity_park,nominal_access_only,명목 접근성 착시형,245.0,600.2,245.0,0,0,0,2,case2_access_low_green,3.0,2,case2_access_low_green,3.0,1,case1_access_deficit,4.0,2,False,False,True,True
B000002989,인천주안남초등학교,미추홀구,2.0,접근 가능하나 녹지 부족,0,0.4263408185968763,1,0,1,0,60.5,미니공원,small_child_park,974.0,미추어린이공원,mid_activity_park,nominal_access_only,명목 접근성 착시형,46.0,669.0,46.0,1,1,0,2,case2_access_low_green,3.0,2,case2_access_low_green,3.0,,,,2,False,False,True,True
