관리번호,공원명,공원구분,위도,경도,공원면적,gu,시설유형,park_function_class,park_function_label,park_function_basis,review_reason
28185-00007,솔찬공원,근린공원,37.36667165,126.6385425,197430.95,연수구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 면적 차이 큼
28185-00003,미추홀공원,근린공원,37.38238888,126.6494992,160093.5,연수구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 면적 차이 큼
28200-00114,별빛공원,어린이공원,37.39389107,126.7288965,1591.0,남동구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만",같은 공원명 내 면적 차이 큼
28200-00103,신촌공원,어린이공원,37.44741294,126.7323582,818.0,남동구,어린이공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 면적 차이 큼
28170-00004,미추홀공원,근린공원,37.446271,126.6702513,38950.0,미추홀구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 면적 차이 큼
28170-00003,미추홀공원,근린공원,37.446271,126.6702513,38950.0,미추홀구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 면적 차이 큼
28170-00014,새싹공원,어린이공원,37.454945,126.638868,718.3,미추홀구,어린이공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 면적 차이 큼
28185-00015,양지공원,근린공원,37.41535286,126.678406,10253.6,연수구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 면적 차이 큼
28185-00010,연일공원,어린이공원,37.41944263,126.6916193,5037.7,연수구,어린이공원,mid_activity_park,활동규모 공원,"본 프로젝트의 분석상 운영 기준 3,000㎡ 이상",같은 공원명 내 면적 차이 큼
28185-00005,승기공원,어린이공원,37.4197522,126.6984594,7545.8,연수구,어린이공원,mid_activity_park,활동규모 공원,"본 프로젝트의 분석상 운영 기준 3,000㎡ 이상",같은 공원명 내 면적 차이 큼
28185-00031,중앙공원,어린이공원,37.428725,126.6681989,1500.1,연수구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만",같은 공원명 내 면적 차이 큼
28200-00147,무지개공원,어린이공원,37.44473057,126.7153655,1892.0,남동구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만",같은 공원명 내 면적 차이 큼
28200-00129,흰여울공원,어린이공원,37.42986416,126.744066,1587.0,남동구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만",같은 공원명 내 면적 차이 큼
28200-00026,만수공원,근린공원,37.457907865,126.7363877533,12528.0,남동구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 면적 차이 큼
28200-00022,양지공원,어린이공원,37.4665085,126.7062617,1280.0,남동구,어린이공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 면적 차이 큼
