학교ID,학교명,위도,경도,소재지도로명주소,학교급구분,설립형태,데이터기준일자,source_url,id_method,current_students,capacity,coordinate_status,coordinate_source,gu
B000011430,인천바이오과학고등학교,37.42084997,126.6683713,인천광역시 연수구 용담로 12,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,연수구
B000011431,인천뷰티예술고등학교,37.40393222,126.6713019,인천광역시 연수구 원인재로 21,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,연수구
B000011432,인천생활과학고등학교,37.42400958,126.6782904,인천광역시 연수구 함박뫼로 103,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,연수구
B000011433,인천금융고등학교,37.40884693,126.7117141,인천광역시 남동구 함박뫼로 438-9,고등학교,사립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,남동구
B000011434,부평공업고등학교,37.51253378,126.7267928,인천광역시 부평구 주부토로 194,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,부평구
B000011435,인천미래생활고등학교,37.50056712,126.7426846,인천광역시 부평구 수변로 165,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,부평구
B000011437,인평자동차고등학교,37.49225169,126.702193,인천광역시 부평구 화랑로 111,고등학교,사립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,부평구
B000011438,계산공업고등학교,37.53481361,126.7397141,인천광역시 계양구 도두리로 47,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,계양구
B000011439,인천디자인고등학교,37.54822343,126.6714899,인천광역시 서구 대평로56번길 10,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,서구
B000011440,인천보건고등학교,37.50532986,126.6815492,인천광역시 서구 서달로 58-16,고등학교,사립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,서구
B000011441,한국주얼리고등학교,37.58164872,126.6730503,인천광역시 서구 서곶로 693-1,고등학교,사립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,서구
B000011442,강남영상미디어고등학교,37.64167363,126.4791248,인천광역시 강화군 길상면 강화남로 57,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,강화군
B000011443,산마을고등학교,37.68636257,126.4255653,인천광역시 강화군 양도면 강화남로1002번길 73-29,고등학교,사립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,강화군
B000011827,인천해사고등학교,37.46863564,126.6016659,인천광역시 중구 월미로 338,고등학교,국립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,중구
B000011828,인천과학고등학교,37.49195555,126.5082571,인천광역시 중구 영종대로277번길 74-37,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,중구
B000011829,인천국제고등학교,37.48971398,126.5094118,인천광역시 중구 영종대로277번길 74-40,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,중구
B000011832,인천예술고등학교,37.45854014,126.7039112,인천광역시 남동구 구월로115번길 36,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,남동구
B000011833,미추홀외국어고등학교,37.38961737,126.7244414,인천광역시 남동구 에코중앙로 130,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,남동구
B000011834,인천외국어고등학교,37.50473105,126.695142,인천광역시 부평구 원적로 262,고등학교,사립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,부평구
B000012228,제물포고등학교,37.47726936,126.6238449,인천광역시 중구 자유공원로 58-9,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,중구
B000012229,인일여자고등학교,37.47797136,126.6263097,인천광역시 중구 참외전로72번길 10,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,중구
B000012230,광성고등학교,37.46757337,126.639585,인천광역시 중구 참외전로244번길 47,고등학교,사립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,중구
B000012231,인성여자고등학교,37.4739458,126.624248,인천광역시 중구 홍예문로 39,고등학교,사립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,중구
B000012232,동산고등학교,37.47303977,126.6488935,인천광역시 동구 동산로 58,고등학교,사립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,동구
B000012234,학익고등학교,37.43903057,126.6633844,인천광역시 미추홀구 한나루로358번길 23-22,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,미추홀구
B000012235,선인고등학교,37.47099649,126.6548626,인천광역시 미추홀구 석정로 165,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,미추홀구
