학교ID,학교명,method,offset_m,reach_nodes,reach_edge_len_m,n_parts,v3_area_m2,v3_ratio,v2_osmnx_area_m2,valhalla_area_m2,v3_vs_v2,v3_vs_valhalla
B000008871,백석중학교,exact_edge_trim_v3,29.9,22,3609.4,1,200160,0.2549,,,,
B000012257,인천논현고등학교,exact_edge_trim_v3,50.8,63,5766.6,1,301784,0.3842,,,,
B000008866,검암중학교,exact_edge_trim_v3,25.8,55,6847.4,1,326710,0.416,,,,
B000011438,계산공업고등학교,exact_edge_trim_v3,31.3,82,7016.9,1,315443,0.4016,,,,
B000008826,만수중학교,exact_edge_trim_v3,13.2,128,8289.7,1,371158,0.4726,,,,
B000008863,신현중학교,exact_edge_trim_v3,58.6,44,5123.5,1,246820,0.3143,,,,
B000012234,학익고등학교,exact_edge_trim_v3,25.0,42,4952.2,1,249830,0.3181,,,,
B000011418,인천반도체고등학교,exact_edge_trim_v3,19.2,116,9792.6,1,397401,0.506,,,,
B000012259,신명여자고등학교,exact_edge_trim_v3,66.9,92,7361.7,1,302408,0.385,,,,
B000012289,가정고등학교,exact_edge_trim_v3,70.7,26,3958.3,1,211986,0.2699,,,,
B000008782,인하대학교사범대학부속중학교,exact_edge_trim_v3,25.0,43,4902.5,1,237336,0.3022,,,,
B000008817,연화중학교,exact_edge_trim_v3,35.6,111,9206.4,1,372549,0.4743,,,,
B000008780,제물포여자중학교,exact_edge_trim_v3,50.1,81,8155.5,1,342066,0.4355,,,,
B000008873,인천석남중학교,exact_edge_trim_v3,74.8,34,4898.4,1,262333,0.334,,,,
B000013523,동인천고등학교,exact_edge_trim_v3,9.3,38,4368.1,1,244585,0.3114,,,,
B000025755,인천청람중학교,exact_edge_trim_v3,38.3,225,10966.9,1,349307,0.4448,,,,
B000008847,인천효성중학교,exact_edge_trim_v3,30.6,57,4344.6,1,208597,0.2656,,,,
B000008829,상인천여자중학교,exact_edge_trim_v3,18.2,83,5167.1,1,202501,0.2578,,,,
B000012268,인천산곡고등학교,exact_edge_trim_v3,54.0,63,5943.1,1,299733,0.3816,,,,
B000008763,인천공항중학교,exact_edge_trim_v3,40.1,107,8262.6,1,364273,0.4638,,,,
B000008789,부원중학교,exact_edge_trim_v3,20.7,66,6665.4,1,329926,0.4201,,,,
B000012266,부광여자고등학교,exact_edge_trim_v3,10.0,109,8333.1,1,338664,0.4312,,,,
B000011424,인천기계공업고등학교,exact_edge_trim_v3,19.1,72,7889.1,1,392507,0.4998,,,,
B000008854,인천양촌중학교,exact_edge_trim_v3,76.0,58,5373.1,1,226162,0.288,,,,
B000008794,동암중학교,exact_edge_trim_v3,36.2,91,8172.6,1,378417,0.4818,,,,
B000008823,인천신정중학교,exact_edge_trim_v3,60.3,15,1791.2,1,95506,0.1216,,,,
B000012241,인명여자고등학교,exact_edge_trim_v3,19.2,64,4592.6,1,152371,0.194,,,,
B000008773,인천남중학교,exact_edge_trim_v3,27.7,100,9179.9,1,388150,0.4942,,,,
B000012279,작전고등학교,exact_edge_trim_v3,47.2,77,7438.3,1,276172,0.3516,,,,
B000008827,구월중학교,exact_edge_trim_v3,32.3,39,4579.1,1,253705,0.323,,,,
B000011832,인천예술고등학교,exact_edge_trim_v3,36.6,98,8386.9,1,314597,0.4006,,,,
B000008882,강남중학교,exact_edge_trim_v3,11.1,23,3597.2,1,236645,0.3013,,,,
B000012295,서인천고등학교,exact_edge_trim_v3,31.3,45,6154.2,1,291471,0.3711,,,,
B000012274,세일고등학교,exact_edge_trim_v3,63.4,8,1205.8,1,69722,0.0888,,,,
B000008759,신흥중학교,exact_edge_trim_v3,95.9,1,404.1,1,31791,0.0405,,,,
B000012283,인천효성고등학교,exact_edge_trim_v3,26.1,59,6112.1,1,231872,0.2952,,,,
B000008840,인천고잔중학교,exact_edge_trim_v3,72.1,3,708.5,1,50605,0.0644,,,,
