학교ID,학교명,year,students,special_class_students,source_url,reference_period
KLOCAL-0867a880c4b46df2,인천건지초등학교병설유치원,2025,16,11,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-19767c56f265491f,인천검단꿈유치원,2025,228,12,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-7be51d44cb858bb5,인천검단나래유치원,2025,228,12,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-ad2e055c24bd547e,인천검단초등학교병설유치원,2025,44,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-262e10d1e210408c,인천검암유치원,2025,67,8,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-0af8f94d48e29a3b,인천경명초등학교병설유치원,2025,55,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-daa57df0a81440cd,인천경서초등학교병설유치원,2025,41,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-ba11a51bc0806260,인천경연초등학교병설유치원,2025,47,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-c2e4523109105612,인천공촌초등학교병설유치원,2025,11,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-6a31f4d9b5c5f65d,인천금곡초등학교병설유치원,2025,26,4,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-382a4eb638edccdb,인천능내초등학교병설유치원,2025,7,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-de70b1ea59f110a7,인천단봉초등학교병설유치원,2025,59,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-710c5518488064ab,인천당하초등학교병설유치원,2025,7,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-e939ece928361ded,인천도담초등학교병설유치원,2025,62,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-ddac7c3a8a0d5a08,인천마전초등학교병설유치원,2025,5,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-f4753e5542369632,인천목향초등학교병설유치원,2025,25,6,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-7d5c804848608a29,인천발산초등학교병설유치원,2025,44,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-f9046d59bd98116e,인천백석초등학교병설유치원,2025,46,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-d817fae7029ed452,인천봉수초등학교병설유치원,2025,48,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-9cedf6cf5469db38,인천봉화초등학교병설유치원,2025,13,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-1c92f7fa634fb5f3,인천불로초등학교병설유치원,2025,32,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-7eca59cf2b27adeb,인천서곶초등학교병설유치원,2025,15,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-d1881d2f856ac1b3,인천서로꿈유치원,2025,228,12,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-e67fb17cb81b7ac2,인천서현유치원,2025,132,11,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-2def53f46a779e53,인천석남초등학교병설유치원,2025,8,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-2da09589001a6ae4,인천신석초등학교병설유치원,2025,4,3,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-7e2349d1d3ce7603,인천신현북초등학교병설유치원,2025,6,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-b833eeda1290da9f,인천아라꿈유치원,2025,326,12,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-f32ece23bc8b2d5a,인천아라초등학교병설유치원,2025,64,4,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-cc5ca2ff5c2c1840,인천아람초등학교병설유치원,2025,63,4,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-6ab54af3a2193b78,인천양지초등학교병설유치원,2025,17,4,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
KLOCAL-aa8da85a8f6b19b9,인천완정초등학교병설유치원,2025,22,0,https://e-childschoolinfo.moe.go.kr/,2025년 1차 공시
