학교ID,학교명,current_students_2025,forecast_2029,forecast_2031,predicted_2029,predicted_2031,selected_model,model_version,validation_scheme
B000025236,인천첨단초등학교,1582,1225,1079,1225,1079,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000026470,인천이음초등학교,1934,1621,1413,1621,1413,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003124,인천안산초등학교,265,133,80,133,80,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003185,하점초등학교,37,25,19,25,19,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003065,인천신정초등학교,1519,1395,1329,1395,1329,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002962,인천영종초등학교금산분교장,47,27,14,27,14,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003158,인천원당초등학교,441,201,131,201,131,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000025512,인천용학초등학교,1192,1021,962,1021,962,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003087,인천원동초등학교,850,358,157,358,157,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000025222,인천현송초등학교,801,1058,1055,1058,1055,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003016,인천부일초등학교,276,194,146,194,146,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003170,인천서곶초등학교,426,264,182,264,182,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000026504,인천송담초등학교,913,910,893,910,893,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003176,화도초등학교,41,10,4,10,4,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003139,인천청라초등학교,1281,1060,952,1060,952,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000025210,인천연송초등학교,1116,1072,1220,1072,1220,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003179,강화초등학교,209,92,41,92,41,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003101,인천인동초등학교,771,502,337,502,337,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002982,인천석암초등학교,902,920,880,920,880,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002956,인천운남초등학교,458,356,366,356,366,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003153,인천완정초등학교,434,291,217,291,217,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003160,인천창신초등학교,738,407,325,407,325,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000026332,인천백석초등학교,806,605,511,605,511,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003186,명신초등학교,45,40,37,40,37,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003122,인천계양초등학교,307,156,93,156,93,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003194,서도초등학교,3,1,0,1,0,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003112,인천성지초등학교,291,175,121,175,121,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003120,인천당산초등학교,721,252,107,252,107,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002967,인천서흥초등학교,329,188,139,188,139,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003192,교동초등학교,18,5,2,5,2,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003134,인천경명초등학교,891,515,340,515,340,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003184,삼성초등학교,23,5,2,5,2,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000022839,인천청일초등학교,829,632,547,632,547,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000026471,인천신검단초등학교,,,,,,insufficient_history,origin_safe_residual_v2,origin_safe_heldout_target
B000003141,인천양지초등학교,243,176,136,176,136,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003190,삼산초등학교,14,7,5,7,5,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000026467,인천해든초등학교,1668,1376,1396,1376,1396,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003083,인천도림초등학교,320,180,105,180,105,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003177,대월초등학교,107,96,89,96,89,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002997,북포초등학교,65,27,12,27,12,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003094,인천신월초등학교,223,79,35,79,35,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003171,인천검암초등학교,198,102,57,102,57,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000022834,인천청람초등학교,1166,927,805,927,805,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003169,인천신현초등학교,249,110,53,110,53,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003085,인천장도초등학교,267,163,108,163,108,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003161,인천금곡초등학교,269,208,176,208,176,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000025256,인천송원초등학교,753,588,568,588,568,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003004,인천남부초등학교이작분교장,2,66,32,66,32,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003183,불은초등학교,51,27,14,27,14,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003082,인천만수초등학교,200,167,138,167,138,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002980,인천관교초등학교,431,265,184,265,184,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003110,인천해서초등학교,141,41,17,41,17,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000025196,인천장서초등학교,1358,1323,1256,1323,1256,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003045,인천한길초등학교,447,260,167,260,167,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003167,인천석남서초등학교,321,172,102,172,102,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003173,길상초등학교,140,79,41,79,41,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000025206,인천새봄초등학교,492,500,487,500,487,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003033,인천부마초등학교,654,511,442,511,442,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003182,선원초등학교,233,199,185,199,185,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003009,인천대정초등학교,471,234,119,234,119,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003000,인천삼목초등학교장봉분교장,2,0,0,0,0,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003119,인천소양초등학교,346,239,196,239,196,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003111,인천안남초등학교,288,113,50,113,50,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002995,영흥초등학교,147,83,43,83,43,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003064,인천옥련초등학교,747,582,493,582,493,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003063,인천문남초등학교,503,399,348,399,348,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003059,인천동춘초등학교,660,512,465,512,465,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003068,인천먼우금초등학교,760,603,533,603,533,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003023,인천부평북초등학교,282,205,162,205,162,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003097,인천논현초등학교,591,413,335,413,335,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003066,인천해송초등학교,555,337,231,337,231,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003132,인천계양초등학교상야분교장,6,2,1,2,1,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003128,인천작전초등학교,311,166,97,166,97,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003159,인천발산초등학교,696,372,302,372,302,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003138,인천경서초등학교,568,441,384,441,384,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003079,인천만수북초등학교,607,337,151,337,151,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003157,인천단봉초등학교,734,580,516,580,516,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003067,인천신송초등학교,472,306,229,306,229,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003041,인천용마초등학교,495,468,436,468,436,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003048,인천명선초등학교,965,762,672,762,672,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003109,인천효성초등학교,272,163,110,163,110,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002975,인천용현남초등학교,1149,978,945,978,945,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003114,인천서운초등학교,510,544,503,544,503,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003054,인천연화초등학교,608,507,454,507,454,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002955,인천연안초등학교,104,31,13,31,13,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002965,인천창영초등학교,244,304,290,304,290,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003027,인천부원초등학교,602,432,357,432,357,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003099,인천새말초등학교,358,211,162,211,162,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002960,인성초등학교,499,496,491,496,491,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003044,인천삼산초등학교,502,405,355,405,355,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003015,인천구산초등학교,285,130,61,130,61,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002950,인천신광초등학교,699,637,605,637,605,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002976,인천학산초등학교,835,681,611,681,611,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003092,인천송천초등학교,320,177,108,177,108,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002986,인천대화초등학교,366,196,128,196,128,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002992,인천연학초등학교,371,507,519,507,519,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
