source_record_id,source_row,facility_type,facility_name,address,latitude,longitude,coordinate_status,match_reason,matched_address_key,coordinate_matching_record_count,coordinate_unique_point_count,coordinate_max_pairwise_distance_m,coordinate_source_record_ids,coordinate_source,coordinate_source_url,coordinate_source_as_of,source_url,source_as_of,retrieved_at,construction_status,construction_type,permit_date,start_date,approval_date,main_use,site_area_sqm,coordinate_limitations
15029299:43,43,건축행정기록,공동주택,인천광역시 연수구 선학동 352,,,unmatched,coordinate_conflict_over_50m,인천광역시|연수구|선학동|False|352|0,36,2,62.404,,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,대수선,2023-11-27,2024-03-29,2024-11-15,공동주택,32476.20,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:44,44,건축행정기록,운수시설,인천광역시 연수구 옥련동 산 51-3 외52필지,,,unmatched,multiple_parcels_or_development_block_or_unparsed_address,,0,0,,,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,증축,2023-11-27,2024-06-11,,운수시설,39727.00,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:45,45,건축행정기록,단독주택,인천광역시 연수구 동춘동 동춘1도시개발사업구역 16 블록 3 로트,,,unmatched,multiple_parcels_or_development_block_or_unparsed_address,,0,0,,,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2023-08-16,2023-09-21,2024-03-25,단독주택,316.80,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:47,47,건축행정기록,단독주택,인천광역시 연수구 동춘동 동춘1구역 22 3,,,unmatched,multiple_parcels_or_development_block_or_unparsed_address,,0,0,,,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2023-08-07,2023-08-29,,단독주택,433.70,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:48,48,건축행정기록,의료시설,인천광역시 연수구 연수동 220 외4필지,,,unmatched,multiple_parcels_or_development_block_or_unparsed_address,,0,0,,,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,증축,2023-08-03,2023-10-25,2024-11-15,의료시설,41789.40,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:49,49,건축행정기록,단독주택,인천광역시 연수구 동춘동 동춘1구역도시개발구역 23-1,,,unmatched,multiple_parcels_or_development_block_or_unparsed_address,,0,0,,,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2023-07-31,2023-11-03,2024-12-10,단독주택,496.30,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:50,50,건축행정기록,제1종근린생활시설,인천광역시 연수구 청학동 65-5 외2필지,,,unmatched,multiple_parcels_or_development_block_or_unparsed_address,,0,0,,,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2023-07-28,2023-08-02,,제1종근린생활시설,2636.00,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:51,51,건축행정기록,노유자시설,인천광역시 연수구 청학동 32-25,,,unmatched,no_exact_parcel_address_in_sbiz,인천광역시|연수구|청학동|False|32|25,0,0,,,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2023-07-24,2023-08-01,,노유자시설,184.00,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:52,52,건축행정기록,종교시설,인천광역시 연수구 동춘동 동춘1구역 도시개발사업 27블록 1로트,,,unmatched,multiple_parcels_or_development_block_or_unparsed_address,,0,0,,,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2023-07-21,2023-08-17,2025-03-31,종교시설,1499.70,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:53,53,건축행정기록,제2종근린생활시설,인천광역시 연수구 동춘동 동춘1구역 도시개발사업지구 12블럭 1로트 외1필지,,,unmatched,multiple_parcels_or_development_block_or_unparsed_address,,0,0,,,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2023-07-17,2023-09-27,,제2종근린생활시설,650.00,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
