source_record_id,source_row,facility_type,facility_name,address,latitude,longitude,coordinate_status,match_reason,matched_address_key,coordinate_matching_record_count,coordinate_unique_point_count,coordinate_max_pairwise_distance_m,coordinate_source_record_ids,coordinate_source,coordinate_source_url,coordinate_source_as_of,source_url,source_as_of,retrieved_at,construction_status,construction_type,permit_date,start_date,approval_date,main_use,site_area_sqm,coordinate_limitations
15029300:1713,1713,건축행정기록,제1종근린생활시설,인천광역시 미추홀구 학익동 297-8,37.4464786,126.6666596,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 학익동 297-8,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,증축,2001-12-03,2001-12-04,2002-04-23,제1종근린생활시설,130.26,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1714,1714,건축행정기록,단독주택,인천광역시 미추홀구 숭의동 302-14 외1필지,37.4594855,126.6463482,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 숭의동 302-14,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,증축,2001-12-03,2001-12-05,2002-01-02,단독주택,153.9,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1715,1715,건축행정기록,단독주택,인천광역시 미추홀구 용현동 491-211,37.4573707,126.6542096,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 용현동 491-211,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,신축,2001-11-30,2002-01-25,2002-07-11,단독주택,137,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1716,1716,건축행정기록,제2종근린생활시설,인천광역시 미추홀구 주안동 1437,37.4486708,126.6769175,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 주안동 1437,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,신축,2001-11-30,2001-12-06,2002-01-14,제2종근린생활시설,272.1,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1717,1717,건축행정기록,단독주택,인천광역시 미추홀구 주안동 412-54,37.4562231,126.6841501,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 주안동 412-54,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,증축,2001-11-30,2002-05-23,2002-07-23,단독주택,119.83,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1718,1718,건축행정기록,제2종근린생활시설,인천광역시 미추홀구 주안동 107-1,37.4628167,126.6829875,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 주안동 107-1,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,증축,2001-11-27,2005-06-01,2005-06-30,제2종근린생활시설,334.5,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1719,1719,건축행정기록,단독주택,인천광역시 미추홀구 주안동 1461-1,37.4496559,126.6785646,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 주안동 1461-1,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,신축,2001-11-26,2001-11-26,2002-04-29,단독주택,191.9,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1720,1720,건축행정기록,단독주택,인천광역시 미추홀구 숭의동 160-76,37.4640691,126.6454028,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 숭의동 160-76,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,증축,2001-11-24,2001-12-03,2004-02-24,단독주택,100.25,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1721,1721,건축행정기록,단독주택,인천광역시 미추홀구 학익동 312-72,37.4451772,126.6650066,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 학익동 312-72,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,증축,2001-11-22,2001-11-22,2002-01-14,단독주택,46,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1722,1722,건축행정기록,제2종근린생활시설,인천광역시 미추홀구 학익동 660-16,37.4400322,126.6708762,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 학익동 660-16,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,증축,2001-11-20,2001-11-26,2002-06-24,제2종근린생활시설,593,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1723,1723,건축행정기록,단독주택,인천광역시 미추홀구 용현동 680-30,,,unresolved,no_exact_parcel_match_in_kakao,,0,0,,,kakao_local_api:unresolved,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,개축,2001-11-19,2001-11-21,2002-06-01,단독주택,98.9,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1724,1724,건축행정기록,제1종근린생활시설,인천광역시 미추홀구 학익동 800-2 외1필지,,,unresolved,no_exact_parcel_match_in_kakao,,0,0,,,kakao_local_api:unresolved,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,증축,2001-11-19,2001-11-23,2001-12-11,제1종근린생활시설,860.32,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1725,1725,건축행정기록,단독주택,인천광역시 미추홀구 주안동 544-40,37.4555135,126.6774327,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 주안동 544-40,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,신축,2001-11-15,2001-11-30,2002-07-30,단독주택,149.5,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1726,1726,건축행정기록,단독주택,인천광역시 미추홀구 학익동 420-36,37.4451279,126.6599711,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 학익동 420-36,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,증축,2001-11-15,2001-11-23,2002-03-28,단독주택,153,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1727,1727,건축행정기록,단독주택,인천광역시 미추홀구 숭의동 92-24,37.4672845,126.6540075,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 숭의동 92-24,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,신축,2001-11-14,2001-11-16,2002-06-11,단독주택,174.8,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1728,1728,건축행정기록,공장,인천광역시 미추홀구 학익동 401-16,37.4452243,126.6530479,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 학익동 401-16,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,증축,2001-11-12,2001-11-16,2002-03-26,공장,8252,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1729,1729,건축행정기록,단독주택,인천광역시 미추홀구 주안동 15-17,37.4675591,126.6800237,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 주안동 15-17,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,대수선,2001-11-10,2001-11-13,,단독주택,202.2,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:1730,1730,건축행정기록,단독주택,인천광역시 미추홀구 주안동 418-11,37.4539220,126.6829678,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 주안동 418-11,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,증축,2001-11-10,2001-11-12,2001-12-20,단독주택,186.8,"주소 기반 추정 위치, 공사현장 좌표 아님"
