school_name,school_level,designation_type,program_name,year,source_url,source_file,source_published_date,retrieved_at,financial_support_amount,verification_status,designation_start_date,designation_end_date,period_basis,note
인천간재울초등학교,초등학교,교육실습학교 (2~4학년),교육실습 협력학교(경인교대),2026,https://www.ginue.ac.kr/kor/CMS/Contents/Contents.do?mCode=MN081,ginue_teaching_practice_MN081.html,,2026-09-07,,official_roster,,,,실습 학년 2~4학년 · 인천 서구 승학로 433
인천경명초등학교,초등학교,교육실습학교 (2~4학년),교육실습 협력학교(경인교대),2026,https://www.ginue.ac.kr/kor/CMS/Contents/Contents.do?mCode=MN081,ginue_teaching_practice_MN081.html,,2026-09-07,,official_roster,,,,실습 학년 2~4학년 · 인천 서구 크리스탈로 130
인천능내초등학교,초등학교,교육실습학교 (2~4학년),교육실습 협력학교(경인교대),2026,https://www.ginue.ac.kr/kor/CMS/Contents/Contents.do?mCode=MN081,ginue_teaching_practice_MN081.html,,2026-09-07,,official_roster,,,,실습 학년 2~4학년 · 인천 서구 검단로540번길 23
인천아라초등학교,초등학교,교육실습학교 (2~4학년),교육실습 협력학교(경인교대),2026,https://www.ginue.ac.kr/kor/CMS/Contents/Contents.do?mCode=MN081,ginue_teaching_practice_MN081.html,,2026-09-07,,official_roster,,,,실습 학년 2~4학년 · 인천 서구 서로2로 42
인천청라초등학교,초등학교,교육실습학교 (2~4학년),교육실습 협력학교(경인교대),2026,https://www.ginue.ac.kr/kor/CMS/Contents/Contents.do?mCode=MN081,ginue_teaching_practice_MN081.html,,2026-09-07,,official_roster,,,,실습 학년 2~4학년 · 인천 서구 청라에메랄드로 139
인천청일초등학교,초등학교,교육실습학교 (2~4학년),교육실습 협력학교(경인교대),2026,https://www.ginue.ac.kr/kor/CMS/Contents/Contents.do?mCode=MN081,ginue_teaching_practice_MN081.html,,2026-09-07,,official_roster,,,,실습 학년 2~4학년 · 인천 서구 크리스탈로 46
인천해원초등학교,초등학교,교육실습학교 (2~4학년),교육실습 협력학교(경인교대),2026,https://www.ginue.ac.kr/kor/CMS/Contents/Contents.do?mCode=MN081,ginue_teaching_practice_MN081.html,,2026-09-07,,official_roster,,,,실습 학년 2~4학년 · 인천 서구 청라사파이어로140번길 5
인천백석초등학교,초등학교,교육실습학교 (2~4학년),교육실습 협력학교(경인교대),2026,https://www.ginue.ac.kr/kor/CMS/Contents/Contents.do?mCode=MN081,ginue_teaching_practice_MN081.html,,2026-09-07,,official_roster,,,,실습 학년 2~4학년 · 인천 서구 청마로 55
인천봉수초등학교,초등학교,교육실습학교 (2~4학년),교육실습 협력학교(경인교대),2026,https://www.ginue.ac.kr/kor/CMS/Contents/Contents.do?mCode=MN081,ginue_teaching_practice_MN081.html,,2026-09-07,,official_roster,,,,실습 학년 2~4학년 · 인천 서구 봉오대로267번길 11-4
인천초은초등학교,초등학교,교육실습학교 (2~4학년),교육실습 협력학교(경인교대),2026,https://www.ginue.ac.kr/kor/CMS/Contents/Contents.do?mCode=MN081,ginue_teaching_practice_MN081.html,,2026-09-07,,official_roster,,,,실습 학년 2~4학년 · 인천 서구 청라에메랄드로 33
갑룡초등학교,초등학교,교육실습학교 (2~4학년),교육실습 협력학교(경인교대),2026,https://www.ginue.ac.kr/kor/CMS/Contents/Contents.do?mCode=MN081,ginue_teaching_practice_MN081.html,,2026-09-07,,official_roster,,,,실습 학년 2~4학년 · 인천 강화군 강화읍 갑룡길 88
