source_record_id,source_row,facility_type,facility_name,address,latitude,longitude,coordinate_status,match_reason,matched_address_key,coordinate_matching_record_count,coordinate_unique_point_count,coordinate_max_pairwise_distance_m,coordinate_source_record_ids,coordinate_source,coordinate_source_url,coordinate_source_as_of,source_url,source_as_of,retrieved_at,construction_status,construction_type,permit_date,start_date,approval_date,main_use,site_area_sqm,coordinate_limitations
15029299:23,23,건축행정기록,운동시설,인천광역시 연수구 연수동 581-2,37.4187313,126.6912774,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 연수구 연수동 581-2,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2025-02-24,2025-04-10,,운동시설,7854.00,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:24,24,건축행정기록,제2종근린생활시설,인천광역시 연수구 동춘동 795-8 외1필지,37.4150969,126.6589089,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 연수구 동춘동 795-8,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,증축,2025-02-18,2025-03-07,2025-05-08,제2종근린생활시설,562.30,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:25,25,건축행정기록,제2종근린생활시설,인천광역시 연수구 동춘동 820-20,37.4157881,126.6550443,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 연수구 동춘동 820-20,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2025-02-06,2025-03-19,2025-10-27,제2종근린생활시설,255.60,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:26,26,건축행정기록,단독주택,인천광역시 연수구 동춘동 동춘1도시개발사업구역 18블록 15로트,,,unresolved,address_not_parcel_or_road_notation,,0,0,,,kakao_local_api:unresolved,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2024-12-30,2025-01-13,2025-08-13,단독주택,321.00,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:27,27,건축행정기록,제2종근린생활시설,인천광역시 연수구 동춘동 1146-3 외1필지,37.4042112,126.6673460,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 연수구 동춘동 1146-3,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2024-11-27,2024-12-04,,제2종근린생활시설,771.50,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:30,30,건축행정기록,단독주택,인천광역시 연수구 동춘동 동춘1구역도시개발사업 29블록 3로트,,,unresolved,address_not_parcel_or_road_notation,,0,0,,,kakao_local_api:unresolved,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2024-11-07,2024-12-03,,단독주택,357.80,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:31,31,건축행정기록,단독주택,인천광역시 연수구 동춘동 동춘1구역 19 1,,,unresolved,address_not_parcel_or_road_notation,,0,0,,,kakao_local_api:unresolved,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2024-10-16,2024-11-04,,단독주택,398.60,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:32,32,건축행정기록,제1종근린생활시설,인천광역시 연수구 옥련동 송도역세권 도시개발구역 문1,,,unresolved,address_not_parcel_or_road_notation,,0,0,,,kakao_local_api:unresolved,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2024-10-08,2024-12-23,,제1종근린생활시설,2630.00,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:33,33,건축행정기록,단독주택,인천광역시 연수구 동춘동 동춘1구역도시개발구역 18블록 13로트,,,unresolved,address_not_parcel_or_road_notation,,0,0,,,kakao_local_api:unresolved,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2024-09-20,2024-10-15,,단독주택,259.60,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:34,34,건축행정기록,업무시설,인천광역시 연수구 청학동 466-11,37.4184085,126.6772148,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 연수구 청학동 466-11,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2024-08-29,2024-11-05,,업무시설,1000.30,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:36,36,건축행정기록,제2종근린생활시설,인천광역시 연수구 동춘동 1142-4 외2필지,37.4067666,126.6652607,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 연수구 동춘동 1142-4,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2024-03-27,2024-05-09,2024-09-13,제2종근린생활시설,865.10,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:37,37,건축행정기록,위험물저장및처리시설,인천광역시 연수구 옥련동 송도역세권구역 위 1,,,unresolved,address_not_parcel_or_road_notation,,0,0,,,kakao_local_api:unresolved,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2024-03-18,2024-04-12,2024-09-09,위험물저장및처리시설,1438.00,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:40,40,건축행정기록,제1종근린생활시설,인천광역시 연수구 선학동 401-1 외1필지,37.4282207,126.6984508,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 연수구 선학동 401-1,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,대수선,2023-12-26,2024-01-17,2024-09-05,제1종근린생활시설,2510.40,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:42,42,건축행정기록,단독주택,인천광역시 연수구 동춘동 동춘1구역 24 2,,,unresolved,address_not_parcel_or_road_notation,,0,0,,,kakao_local_api:unresolved,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2023-12-11,2024-06-12,2024-11-15,단독주택,250.00,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:43,43,건축행정기록,공동주택,인천광역시 연수구 선학동 352,37.4250194,126.7000874,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 연수구 선학동 352,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,대수선,2023-11-27,2024-03-29,2024-11-15,공동주택,32476.20,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:44,44,건축행정기록,운수시설,인천광역시 연수구 옥련동 산 51-3 외52필지,37.4291791,126.6560702,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 연수구 옥련동 산 51-3,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,증축,2023-11-27,2024-06-11,,운수시설,39727.00,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:45,45,건축행정기록,단독주택,인천광역시 연수구 동춘동 동춘1도시개발사업구역 16 블록 3 로트,,,unresolved,address_not_parcel_or_road_notation,,0,0,,,kakao_local_api:unresolved,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2023-08-16,2023-09-21,2024-03-25,단독주택,316.80,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:47,47,건축행정기록,단독주택,인천광역시 연수구 동춘동 동춘1구역 22 3,,,unresolved,address_not_parcel_or_road_notation,,0,0,,,kakao_local_api:unresolved,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2023-08-07,2023-08-29,,단독주택,433.70,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:48,48,건축행정기록,의료시설,인천광역시 연수구 연수동 220 외4필지,37.4184540,126.6895847,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 연수구 연수동 220,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,증축,2023-08-03,2023-10-25,2024-11-15,의료시설,41789.40,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:49,49,건축행정기록,단독주택,인천광역시 연수구 동춘동 동춘1구역도시개발구역 23-1,,,unresolved,address_not_parcel_or_road_notation,,0,0,,,kakao_local_api:unresolved,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2023-07-31,2023-11-03,2024-12-10,단독주택,496.30,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:50,50,건축행정기록,제1종근린생활시설,인천광역시 연수구 청학동 65-5 외2필지,37.4275428,126.6608093,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 연수구 청학동 65-5,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2023-07-28,2023-08-02,,제1종근린생활시설,2636.00,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:51,51,건축행정기록,노유자시설,인천광역시 연수구 청학동 32-25,37.4298318,126.6617140,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 연수구 청학동 32-25,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2023-07-24,2023-08-01,,노유자시설,184.00,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:52,52,건축행정기록,종교시설,인천광역시 연수구 동춘동 동춘1구역 도시개발사업 27블록 1로트,,,unresolved,address_not_parcel_or_road_notation,,0,0,,,kakao_local_api:unresolved,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2023-07-21,2023-08-17,2025-03-31,종교시설,1499.70,"주소 기반 추정 위치, 공사현장 좌표 아님"
