school_name,school_level,designation_type,program_name,year,source_url,source_file,source_published_date,retrieved_at,financial_support_amount,verification_status
인천서흥초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천석정초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천석천초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천소래초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천송림초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천송명초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천송원초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천신광초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천신석초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천양지초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천영선초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천왕길초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천용마초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천용정초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천이음초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천작전초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천주안북초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천청람초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천청천초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천청호초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천초은초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천하늘초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천하정초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천학산초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
중산초등학교,초등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
강화여자중학교,중학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
남동중학교,중학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
부원여자중학교,중학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
부흥중학교,중학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
삼산중학교,중학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
선화여자중학교,중학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
연성중학교,중학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
용현중학교,중학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천경연중학교,중학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천미송중학교,중학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천예송중학교,중학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
인천운서중학교,중학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
임학중학교,중학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
대인고등학교,고등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
명신여자고등학교,고등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
문일여자고등학교,고등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
문학정보고등학교,고등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
부광고등학교,고등학교,디지털튜터 운영교,디지털튜터,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3320903,ice_digital_tutor_2025.pdf,2025-03-19,2026-09-06,,official_roster
