도서관명,유형,구,위도,경도,장서수,열람좌석수,평일운영,휴관일,기준일,좌표출처
정다운 도서관,작은,서구,37.54666268,126.6800697,5324,20,09:00~18:00,월+법정공휴일,2025-11-14,원본
조은생각 BOOK CAFE,작은,서구,37.617022,126.6889361,2800,12,09:00~18:00,토+일+법정공휴일,2025-11-14,원본
책노리 도서관,작은,서구,37.52771617,126.6482613,2500,17,14:00~17:00,일+법정공휴일,2025-11-14,원본
책향 북카페,작은,서구,37.52195565,126.6765082,1302,14,10:00~17:00,토+일+법정공휴일,2025-11-14,원본
청라 자이도서관,작은,서구,37.52767404,126.6570669,1396,93,10:00~18:00,토+일+법정공휴일,2025-11-14,원본
청라 책나누미 CAFE,작은,서구,37.53263807,126.6441486,11614,30,10:00~18:00,토+일+법정공휴일,2025-11-14,원본
청라국제도서관,공공,서구,37.5320550838215,126.660320746599,108933,220,09:00~22:00,매주월요일+법정공휴일,2026-02-09,지오코딩
청라시티프라디움 작은도서관,작은,서구,37.53684033,126.6267297,1011,10,10:00~18:00,토+일+법정공휴일,2025-11-14,원본
청라호수도서관,공공,서구,37.5305631104341,126.636323165996,130869,633,09:00~22:00,매주금요일+법정공휴일,2026-02-09,지오코딩
청초랑 북카페,작은,서구,37.53266259,126.6537321,3650,50,10:00~18:00,토+일+법정공휴일,2025-11-14,원본
청호초중학교 작은도서관,작은,서구,37.53864489,126.6415165,5661,60,09:00~17:00,토+일+법정공휴일,2025-11-14,원본
키다리아저씨,작은,서구,37.59541612,126.6704982,2200,30,10:00~17:00,법정공휴일,2025-11-14,원본
포레나루원시티 작은도서관,작은,서구,37.52195565,126.6765082,1009,64,10:00~18:00,토+일+법정공휴일,2025-11-14,원본
푸른 도서관,작은,서구,37.53508877,126.6371569,2800,100,09:00~18:00,법정공휴일,2025-11-14,원본
푸른길 작은도서관,작은,서구,37.61233136,126.6867536,2700,119,11:00~17:00,월+일+법정공휴일,2025-11-14,원본
푸른꿈 작은도서관,작은,서구,37.53870993,126.6526687,4858,30,19:00~21:00,토+일+법정공휴일,2025-11-14,원본
푸른샘 어린이도서관,작은,서구,37.49083842,126.6848481,11029,16,11:00~17:00,토+일+법정공휴일,2025-11-14,원본
푸른숲 작은도서관,작은,서구,37.503068,126.677356,10090,20,10:00~19:00,토+일+법정공휴일,2025-11-14,원본
하늘샘 도서관,작은,서구,37.59780318,126.674779,3000,20,00:00~00:00,휴관,2025-11-14,원본
한국민들레도서관,작은,서구,37.54470422,126.6723203,25000,60,09:00~18:00,일+법정공휴일,2025-11-14,원본
한신 작은도서관,작은,서구,37.54029753,126.6751939,1366,50,10:00~18:00,토+일+법정공휴일,2025-11-14,원본
한신더휴어반파크 작은도서관,작은,서구,37.58727269,126.7082031,1003,60,10:00~18:00,토+일+법정공휴일,2025-11-14,원본
행복한나라 문고,작은,서구,37.60605688,126.659704,3200,15,10:00~18:00,일+법정공휴일,2025-11-14,원본
회화나무 도서관,작은,서구,37.514608,126.6722843,12932,16,09:00~18:00,토+일+법정공휴일,2025-11-14,원본
