관리번호,공원명,공원구분,위도,경도,공원면적,gu,시설유형,park_function_class,park_function_label,park_function_basis
28110-00028,월미공원,근린공원,37.47110094,126.6038829,590614.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28185-00027,청능공원,근린공원,37.41649929,126.6693184,224955.0,연수구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28185-00026,장미공원,근린공원,37.42663202,126.6778426,1025454.0,연수구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28170-00025,문학공원,근린공원,37.43657703,126.6722983,209546.0,미추홀구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28110-00024,남항공원,근린공원,37.43526306,126.6286205,95000.0,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28170-00023,중앙공원,근린공원,37.44078785,126.6986523,351770.8,미추홀구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28200-00022,소래습지생태공원,근린공원,37.40736572,126.7463366,1511706.0,남동구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28237-00021,십정공원,근린공원,37.47976933,126.7062528,110051.0,부평구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28237-00020,원적산공원,근린공원,37.51289785,126.6933776,215172.0,부평구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28237-00019,부평공원,근린공원,37.48934791,126.7146464,113123.0,부평구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28200-00018,인천대공원,근린공원,37.45859492,126.7519687,2665463.9,남동구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28260-00019,노을공원,근린공원,37.53320392,126.6130722,225188.2,서구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28260-00018,해변공원,근린공원,37.53854418,126.6155453,189769.9,서구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28260-00014,청라호수공원,근린공원,37.5306152,126.6362978,690573.9,서구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28110-00013,박석공원,근린공원,37.4990143,126.5632013,351889.5,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28110-00012,은골공원,근린공원,37.48574899,126.4952777,392450.4,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28110-00011,씨사이드파크,근린공원,37.47860421,126.5571779,1770719.2,중구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28185-00014,랜드마크시티 18 근린공원,근린공원,37.4268815,126.6300593,77873.0,연수구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
