학교ID,학교명,nearest_park_name,nearest_park_dist_m,nearest_park_lat,nearest_park_lon
B000003000,인천삼목초등학교장봉분교장,창포공원_37.492_126.484,16196.8,37.4923136,126.4844559
B000003004,인천남부초등학교이작분교장,영종하늘도시 6호_37.474_126.520,18983.5,37.47402974,126.5199439
B000003005,인천용현남초등학교자월분교장,영종하늘도시 6호_37.474_126.520,18983.5,37.47402974,126.5199439
B000003006,인천부평서초등학교,서부동놀이공원_37.493_126.721,304.0,37.49345831,126.7208608
B000003007,인천부곡초등학교,마장공원,420.0,,
B000003008,인천마곡초등학교,성벽어린이공원_37.513_126.698,0.0,37.51262084,126.6981569
B000003009,인천대정초등학교,마장공원_37.501_126.708,1287.1,37.50071118,126.7078504
B000003010,인천청천초등학교,어울림어린이공원_37.521_126.699,113.7,37.520772,126.69949
B000003011,인천갈산초등학교,새갈놀이공원,212.0,37.51413902,126.7253535
B000003012,인천후정초등학교,동화놀이공원_37.523_126.745,65.9,37.52250237,126.744854
B000003013,인천영선초등학교,햇살공원_37.516_126.733,145.9,37.51621305,126.7330929
B000003014,인천진산초등학교,새싹공원_37.514_126.740,152.0,37.51398326,126.7398045
B000003015,인천구산초등학교,부개공원_37.506_126.741,182.6,37.50604759,126.7411715
B000003016,인천부일초등학교,동소정놀이공원_37.502_126.741,0.0,37.50165922,126.7412273
B000003017,인천부내초등학교,대촌공원_37.497_126.740,263.6,37.4972794,126.7397023
B000003018,인천부개서초등학교,한가람공원,232.0,37.4909379,126.7346955
B000003019,인천부광초등학교,세영공원_37.500_126.737,117.6,37.49986044,126.7367769
B000003020,인천일신초등학교,일신놀이공원_37.483_126.742,218.4,37.48283216,126.7418457
B000003021,인천금마초등학교,??1??,415.0,37.48283216,126.7418457
B000003022,인천상정초등학교,한마음공원,300.0,37.47815205,126.701593
B000003023,인천부평북초등학교,삼산어린이공원_37.520_126.735,827.8,37.5198515,126.7352473
B000003024,인천갈월초등학교,굴포공원_37.509_126.724,257.9,37.5091768,126.7243372
B000003025,인천부개초등학교,마분놀이공원_37.485_126.741,305.9,37.48537713,126.7405375
B000003026,인천동수초등학교,????,269.0,37.48402095,126.7280489
B000003027,인천부원초등학교,신트리공원_37.507_126.724,752.2,37.50658091,126.7236393
B000003028,인천부흥초등학교,부흥놀이공원_37.495_126.731,162.1,37.49519131,126.7310497
B000003029,인천부평동초등학교,꿈나무어린이공원,409.0,,
B000003030,인천부평남초등학교,이야기꽃어린이공원_37.489_126.726,629.1,37.4885231,126.7262459
B000003031,인천산곡북초등학교,뫼골놀이공원,472.0,37.51262084,126.6981569
B000003032,인천산곡초등학교,산곡소공원,200.0,37.50506551,126.699238
B000003033,인천부마초등학교,산곡소공원_37.505_126.699,801.4,37.50506551,126.699238
B000003034,인천미산초등학교,마장공원_37.501_126.708,1143.0,37.50071118,126.7078504
B000003035,인천산곡남초등학교,마장공원_37.501_126.708,1024.0,37.50071118,126.7078504
B000003036,인천신촌초등학교,슬아어린이공원,498.0,37.48736071,126.7023195
B000003037,인천하정초등학교,수정놀이공원_37.476_126.702,177.4,37.47629319,126.7017789
B000003038,인천십정초등학교,하동놀이공원_37.472_126.698,304.9,37.47220088,126.6977239
B000003039,인천백운초등학교,백운공원,322.0,37.47976933,126.7062528
B000003040,인천동암초등학교,약산놀이공원_37.473_126.708,152.1,37.47341408,126.7075683
B000003041,인천용마초등학교,다온어린이공원,408.0,37.517313,126.704005
B000003042,인천마장초등학교,마장공원_37.501_126.708,839.7,37.50071118,126.7078504
B000003043,인천개흥초등학교,신트리공원,220.0,37.50482419,126.7319907
B000003044,인천삼산초등학교,사랑샘공원_37.521_126.736,337.0,37.52074798,126.7359252
B000003045,인천한길초등학교,도드리놀이공원_37.521_126.746,149.3,37.52059312,126.745863
B000003046,인천굴포초등학교,무지개공원_37.509_126.736,342.5,37.50886664,126.7360227
B000003047,한일초등학교,숲속어린이공원_37.506_126.695,67.0,37.5061655,126.695292
B000003048,인천명선초등학교,새아침공원_37.398_126.654,917.9,37.39798134,126.6536494
B000003049,인천축현초등학교,청룡공원_37.423_126.658,295.5,37.423492,126.6579566
B000003050,인천송도초등학교,송도역공원,224.0,37.425686,126.661709
B000003051,인천능허대초등학교,새싹공원_37.426_126.649,204.8,37.42617195,126.6491617
B000003052,인천선학초등학교,선학어린이공원,271.0,37.42348871,126.6995192
B000003053,인천중앙초등학교,대학공원,156.0,37.41678364,126.6891767
B000003054,인천연화초등학교,솔안공원,198.0,37.41449139,126.6807996
B000003055,인천함박초등학교,장미공원_37.427_126.678,271.8,37.42663202,126.6778426
B000003056,인천청학초등학교,하나공원_37.419_126.670,131.3,37.4191238,126.6701747
B000003057,인천청량초등학교,청량어린이공원,94.0,37.41136066,126.6735479
B000003058,인천연성초등학교,부수지공원_37.408_126.678,238.2,37.40810006,126.6778858
B000003059,인천동춘초등학교,동춘근린공원,133.0,37.40836368,126.6655132
B000003060,인천동막초등학교,동막근린공원,178.0,37.403544,126.6737375
