학교ID,학교명,gu,case_type,is_separate_bundle_tag,green_fix_protected,green_fix_manual_ratio,osm_walk_area_m2,straight_buffer_area_m2,osm_walk_area_ratio_to_buffer,connected_residential_count,apt_added_area_m2,apt_gap_ratio,adjusted_walk_area_m2,adjusted_walk_area_ratio_to_buffer,current_walk_green_area_m2,current_walk_green_ratio,apt_added_green_area_m2,apt_added_park_count,adjusted_walk_green_area_m2,adjusted_walk_park_count,apt_adjusted_walk_green_ratio,apt_adjusted_green_delta_pp,radius_green_ratio,radius_to_walk_loss_pp,radius_to_adjusted_loss_pp,apt_permeability_flag,large_apt_count_500m,large_apt_households_500m,apt_adjustment_candidate
B000003086,인천동방초등학교,남동구,2.0,0,0,0,256764.5331,784137.1226,0.327449,3,132180.3661,0.168297,388944.8992,0.496016,2240.3991,0.87255,777.7136,1,3018.1128,3,0.775974,-0.096576,3.361505,2.488955,2.585531,1,4,5480,1
B000003010,인천청천초등학교,부평구,4.0,0,0,0,201230.0255,784137.1226,0.256626,2,95713.4691,0.121866,296943.4947,0.378688,10239.9386,5.088673,0.0,0,10239.9386,4,3.448447,-1.640226,2.279244,-2.80943,-1.169203,1,1,1623,1
B000003006,인천부평서초등학교,부평구,2.0,0,0,0,411388.542,784137.1226,0.524639,2,170646.6288,0.217274,582035.1708,0.742262,1198.0733,0.291227,0.0,0,1198.0733,1,0.205842,-0.085385,0.152543,-0.138683,-0.053299,1,2,4603,1
B000002999,인천공항초등학교신도분교장,옹진군,,1,0,0,65973.1254,784137.1226,0.084135,0,0.0,0.0,65973.1254,0.084135,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
B000003031,인천산곡북초등학교,부평구,3.0,0,0,0,147949.3577,784137.1226,0.188678,4,98435.9231,0.125333,246385.2809,0.314212,1719.0511,1.161919,0.0,0,1719.0511,2,0.697709,-0.46421,0.807042,-0.354877,0.109333,1,1,799,1
B000003126,인천부현초등학교,계양구,2.0,0,0,0,235004.412,784137.1226,0.299698,5,61596.1878,0.078427,296600.5998,0.378251,2102.3966,0.89462,0.0,0,2102.3966,2,0.708831,-0.185789,1.266714,0.372094,0.557883,1,2,1176,1
B000003050,인천송도초등학교,연수구,2.0,0,0,0,256129.168,784137.1226,0.326638,4,16478.3489,0.020981,272607.5169,0.347653,708.6828,0.27669,1253.8873,1,1962.5701,2,0.719925,0.443236,1.153189,0.8765,0.433264,1,0,0,1
B000003053,인천중앙초등학교,연수구,4.0,0,0,0,110273.4126,784137.1226,0.14063,6,213440.8349,0.271761,323714.2475,0.412829,11223.0807,10.177504,22023.6551,2,33246.7357,2,10.270396,0.092892,17.06308,6.885576,6.792684,1,8,7466,1
B000002985,인천서화초등학교,미추홀구,4.0,0,0,0,306662.4145,784137.1226,0.391083,4,86239.7038,0.109804,392902.1183,0.501063,17950.3881,5.853469,3481.4074,1,21431.7956,4,5.454742,-0.398727,6.079542,0.226073,0.6248,1,4,3173,1
B000003125,인천부평초등학교,계양구,2.0,0,0,0,390858.2916,784137.1226,0.498457,6,54607.781,0.069529,445466.0727,0.568097,2595.7018,0.664103,193.3348,2,2789.0365,4,0.626094,-0.038009,0.674153,0.01005,0.048059,1,0,0,1
