학교ID,학교명,gu,iso_child_total,target_2029,target_2031,predicted_2029,predicted_2031,cohort_change_2029_prophet,cohort_change_2031_prophet,is_new_school
B000002975,인천용현남초등학교,미추홀구,229,207.13506504046507,198.3741439632301,207.23648,198.42888,0.90451993467452,0.8662626373940179,0
B000002976,인천학산초등학교,미추홀구,476,430.5514889050715,412.34101539955253,430.3967,412.1209,0.90451993467452,0.8662626373940179,0
B000002977,인천백학초등학교,미추홀구,489,442.31024805584025,423.60242968567474,442.28552,423.62918,0.90451993467452,0.8662626373940179,0
B000002978,인천도화초등학교,미추홀구,341,308.4412977240113,295.3955593513601,308.5464,295.47287,0.90451993467452,0.8662626373940179,0
B000002979,인천문학초등학교,미추홀구,456,412.4610902115811,395.01576265167216,412.55853,395.27335,0.90451993467452,0.8662626373940179,0
B000002980,인천관교초등학교,미추홀구,681,615.9780755133481,589.9248560653261,616.0507,589.9968,0.90451993467452,0.8662626373940179,0
B000002981,인천경원초등학교,미추홀구,1008,911.7560941519162,873.19273849317,911.7872,873.2645,0.90451993467452,0.8662626373940179,0
B000002982,인천석암초등학교,미추홀구,695,628.6413545987914,602.0525329888425,628.48413,602.0195,0.90451993467452,0.8662626373940179,0
B000002983,인천남부초등학교,미추홀구,842,761.6057849959458,729.393140685763,760.5109,728.5015,0.90451993467452,0.8662626373940179,0
B000002984,인천승학초등학교,미추홀구,240,217.0847843218848,207.9030329745643,217.18344,208.02388,0.90451993467452,0.8662626373940179,0
B000002985,인천서화초등학교,미추홀구,484,437.78764838246764,419.27111649870466,437.87125,419.32675,0.90451993467452,0.8662626373940179,0
B000002986,인천대화초등학교,미추홀구,995,899.9973350011473,861.9313242070477,899.7893,861.6561,0.90451993467452,0.8662626373940179,0
B000002987,인천주안북초등학교,미추홀구,507,458.5916068799816,439.1951571587671,459.41962,440.03976,0.90451993467452,0.8662626373940179,0
B000002989,인천주안남초등학교,미추홀구,837,757.0831853225732,725.0618274987929,757.2068,724.8075,0.90451993467452,0.8662626373940179,0
B000002990,인천학익초등학교,미추홀구,153,138.39155000520157,132.53818352128474,138.28667,132.83601,0.90451993467452,0.8662626373940179,0
B000002991,인천인주초등학교,미추홀구,741,670.2492715938193,641.9006143089672,669.59863,641.094,0.90451993467452,0.8662626373940179,0
B000002992,인천연학초등학교,미추홀구,758,685.6261104832861,656.6270791446656,685.5574,656.6702,0.90451993467452,0.8662626373940179,0
B000002993,연평초등학교,옹진군,7,1.6673470012070837,0.0,1.4719404,0.01705277,0.2381924287438691,0.0,0
B000002994,대청초등학교,옹진군,0,0.0,0.0,0.05844009,0.0,0.2381924287438691,0.0,0
