기관명,기관유형,위도,경도,주소,정원수,출처
성지어린이집,민간,37.44201705,126.6791368,인천광역시 미추홀구 미추홀대로 498-15,205.0,어린이집
소리엘어린이집,민간,37.44637016,126.6908191,인천광역시 미추홀구 경원대로716번길 16 소리엘어린이집,86.0,어린이집
숭의어린이집,민간,37.46060833,126.6584562,인천광역시 미추홀구 수봉로 68 (숭의동),90.0,어린이집
숲속실로암영재어린이집,민간,37.46297526,126.6620119,인천광역시 미추홀구 수봉로33번길 102-86 숲속 실로암 영재 어린이집 (도화동),220.0,어린이집
숲속어린이집,가정,37.4415019,126.6596314,"인천광역시 미추홀구 매소홀로 338 120동 103호(학익동, 풍림아이원)",20.0,어린이집
슈어린이집,가정,37.43981545,126.6641125,"인천광역시 미추홀구 매소홀로 338 126동 103호(학익동, 풍림아이원)",20.0,어린이집
스카이뷰어린이집,가정,37.44946243,126.6462924,인천광역시 미추홀구 용정공원로 33 SK스카이뷰 123동 104호,20.0,어린이집
스타디움어린이집,국공립,37.4663073,126.6493547,인천광역시 미추홀구 참외전로 268 스타디움센트럴시티 관리동,36.0,어린이집
승학자연어린이집,민간,37.44423998,126.6803555,인천광역시 미추홀구 승학길104번길 7 (주안동),37.0,어린이집
신동아푸른나무어린이집,가정,37.47722206,126.6536851,인천광역시 미추홀구 송림로 178 신동아파밀리에 관리사무소 옆(도화동),16.0,어린이집
신창어린이집,민간,37.44522037,126.6434857,인천광역시 미추홀구 매소홀로 171 관리동 1층,49.0,어린이집
쌍용햇살가득어린이집,가정,37.44814043,126.6811099,"인천광역시 미추홀구 인하로 292 3동 101호(주안동, 쌍용주안아파트)",20.0,어린이집
아띠어린이집,가정,37.46256142,126.693322,"인천광역시 미추홀구 경원대로 882 103동 102호(주안동, 주안더월드스테이트)",20.0,어린이집
아르테키즈어린이집,가정,37.45513944,126.6919871,"인천광역시 미추홀구 구월로8번길 18-62 109동 102호(주안동, 더샵아르테)",20.0,어린이집
아이가온어린이집,국공립,37.44228591,126.6444263,"인천광역시 미추홀구 학익로 116 (학익동, 시티오씨엘 1단지 105동 어린이집)",47.0,어린이집
아이꽃어린이집,가정,37.46088334,126.6861386,인천광역시 미추홀구 주안동로 28-1 아이꽃어린이집 (주안동),11.0,어린이집
아이꿈터어린이집,가정,37.45017749,126.6366023,"인천광역시 미추홀구 토금남로 53 3동 106호(용현동, 한양아파트)",19.0,어린이집
아이뜰어린이집,민간,37.46213906,126.6512444,인천광역시 미추홀구 미추로6번길 65 (숭의동),62.0,어린이집
아이라온어린이집,가정,37.44796269,126.6449376,인천광역시 미추홀구 용정공원로 33 102동 101호,20.0,어린이집
아이랑어린이집,가정,37.46195156,126.6955368,인천광역시 미추홀구 경원대로864번길 114 더월드스테이트 아파트 2단지 관리소 1층,20.0,어린이집
아이원어린이집,민간,37.43981545,126.6641125,인천광역시 미추홀구 매소홀로 338 풍림아이원아파트 관리소 1층,58.0,어린이집
아인어린이집,직장,37.4513387,126.6840294,인천광역시 미추홀구 인주대로 425-1,49.0,어린이집
알콩달콩어린이집,가정,37.4520864,126.6911067,"인천광역시 미추홀구 경원대로780번길 22 102동 101호(주안동, 주안캐슬앤더샵에듀포레)",20.0,어린이집
애향어린이집,사회복지법인,37.46910229,126.6713746,인천광역시 미추홀구 석정로329번길 32 (도화동),159.0,어린이집
양지어린이집,민간,37.45563471,126.6664195,인천광역시 미추홀구 인주대로237번길 69-22,94.0,어린이집
엄마마음어린이집,가정,37.43719482,126.6856907,인천광역시 미추홀구 소성로 346 국일 아파트 101호 (문학동),17.0,어린이집
엄마사랑어린이집,가정,37.44278566,126.6615216,인천광역시 미추홀구 소성로 120 114동 101호,16.0,어린이집
에듀포레어린이집,국공립,37.4520864,126.6911067,인천광역시 미추홀구 경원대로780번길 22 주안캐슬앤더샵에듀포레,72.0,어린이집
엑슬루어린이집,민간,37.45668645,126.6378399,"인천광역시 미추홀구 아암대로29번길 16 101동 1층(용현동, 엑슬루타워)",39.0,어린이집
연지어린이집,국공립,37.46546056,126.686869,인천광역시 미추홀구 석정로462번길 13 (주안동),98.0,어린이집
영락어린이집,민간,37.44772201,126.6824958,인천광역시 미추홀구 인하로 314 (주안동),50.0,어린이집
영랑어린이집,민간,37.46784042,126.6685347,인천광역시 미추홀구 석정로 298-1,118.0,어린이집
영성어린이집,민간,37.46245947,126.6597648,인천광역시 미추홀구 수봉안길35번길 7 (숭의동),94.0,어린이집
예능어린이집,민간,37.45522105,126.6433117,인천광역시 미추홀구 낙섬동로109번길 4-1,47.0,어린이집
예니숲어린이집,민간,37.45434368,126.6441035,인천광역시 미추홀구 낙섬동로 104 성원상떼빌 단지내 (용현동),42.0,어린이집
예닮어린이집,법인·단체등,37.44056685,126.6811952,인천광역시 미추홀구 승학길26번길 31 1층,66.0,어린이집
예목어린이집,가정,37.45511955,126.6454469,"인천광역시 미추홀구 낙섬동로 104 105동 102호(용현동, 용현동성원상떼빌)",20.0,어린이집
예은어린이집,민간,37.45254242,126.6389993,인천광역시 미추홀구 토금중로51번길 7 (용현동),68.0,어린이집
예인아트어린이집,민간,37.46283545,126.6747251,인천광역시 미추홀구 주안로50번길 30 예인아트어린이집,184.0,어린이집
옹달샘어린이집,민간,37.44659496,126.6840446,인천광역시 미추홀구 인하로318번길 29-17,29.0,어린이집
옹진군청직장어린이집,직장,37.44655292,126.6368868,인천광역시 미추홀구 매소홀로 120 옹진군청,45.0,어린이집
용현어린이집,민간,37.45329422,126.6401835,인천광역시 미추홀구 토금북로57번길 3 인천광역시 남구 토금북로57번길 3(용현동),72.0,어린이집
용화어린이집,법인·단체등,37.46816778,126.6815764,인천광역시 미추홀구 주염로 29 (주안동),110.0,어린이집
웃음어린이집,가정,37.44022384,126.6726086,"인천광역시 미추홀구 매소홀로475번길 60 103동 105호(학익동, 신동아아파트)",20.0,어린이집
원일어린이집,민간,37.45812542,126.6553132,인천광역시 미추홀구 독정이로16번길 19 (용현동),55.0,어린이집
유미예능어린이집,민간,37.4672346,126.6687444,인천광역시 미추홀구 석정로302번길 16 (도화동),84.0,어린이집
은하수어린이집,가정,37.44508305,126.6423857,"인천광역시 미추홀구 매소홀로 171 107동 104호(용현동, 신창미션힐)",19.0,어린이집
은하어린이집,민간,37.43981545,126.6641125,인천광역시 미추홀구 소성로 120 동아풍림아파트 관리동어린이집,40.0,어린이집
이삭어린이집,가정,37.44292823,126.6641679,"인천광역시 미추홀구 학익소로61번길 83 47동 103호(학익동, 주안신동아7차아파트)",20.0,어린이집
인천법원어린이집,직장,37.44162592,126.6720539,인천광역시 미추홀구 학익소로63번길 31 (학익동),90.0,어린이집
인천삼성어린이집,민간,37.46053186,126.6876718,인천광역시 미추홀구 주안로160번길 67 (주안동),136.0,어린이집
인천서화어린이집,직장,37.47442803,126.6608247,인천광역시 미추홀구 송림로 250 서화초등학교내 서화어린이집,59.0,어린이집
자이러블리어린이집,가정,37.44708806,126.6724016,인천광역시 미추홀구 인하로222번길 20 313동 101호,20.0,어린이집
자이숲어린이집,가정,37.45391125,126.6466995,인천광역시 미추홀구 낙섬동로 134 109동 102호,20.0,어린이집
장미어린이집,가정,37.44454777,126.6567304,"인천광역시 미추홀구 소성로 72  5동 106호 (학익동, 장미아파트)",20.0,어린이집
정부인천지방합동청사 초롱어린이집,직장,37.46881574,126.6623464,"인천광역시 미추홀구 석정로 239 (도화동, 정부인천지방합동청사)",60.0,어린이집
제물포어린이집,국공립,37.46800281,126.6510769,인천광역시 미추홀구 석정로140번길 17 (숭의동),49.0,어린이집
종달새어린이집,국공립,37.45298222,126.6587879,인천광역시 미추홀구 인하로47번길 92 (용현동),97.0,어린이집
주안24시어린이집,민간,37.45743017,126.678746,인천광역시 미추홀구 미추홀대로669번길 20 (주안동),50.0,어린이집
주안남어린이집,직장,37.45003512,126.6852615,인천광역시 미추홀구 인주대로434번길 11,42.0,어린이집
주안어린이집,민간,37.45084013,126.6751078,인천광역시 미추홀구 미추홀대로597번길 81-9 주안어린이집,55.0,어린이집
주안자이어린이집,가정,37.44631307,126.6723598,인천광역시 미추홀구 인하로222번길 20 312동 105호,20.0,어린이집
주안파크자이어린이집,국공립,37.44672688,126.6721207,인천광역시 미추홀구 인하로222번길 20 관리동 어린이집,80.0,어린이집
즐거운어린이집,가정,37.46825977,126.6757627,"인천광역시 미추홀구 석정로351번길 12 102동 102호(주안동, 현대홈타운)",20.0,어린이집
참빛어린이집,민간,37.46115856,126.6538346,인천광역시 미추홀구 독정이로54번길 24 (숭의동),129.0,어린이집
청송어린이집,국공립,37.45888548,126.6556737,인천광역시 미추홀구 수봉남로17번길 40-16,36.0,어린이집
코코키즈어린이집,가정,37.45221625,126.6669017,"인천광역시 미추홀구 매소홀로 68 202동 103호(용현동, 용현금호타운2단지아파트)",19.0,어린이집
큰별어린이집,가정,37.4560325,126.6421685,"인천광역시 미추홀구 낙섬중로 100 8동 104호(용현동, 유원용현아파트)",20.0,어린이집
큰빛어린이집,가정,37.46531691,126.6654602,"인천광역시 미추홀구 경인로 203 3동 102호(도화동, 동아아파트)",20.0,어린이집
큰사랑어린이집,가정,37.43779415,126.6543177,"인천광역시 미추홀구 한나루로357번길 165 103동 103호(학익동, 학익현광1차아파트)",20.0,어린이집
키즈맘어린이집,가정,37.44697443,126.6873786,"인천광역시 미추홀구 경원대로 717 107동 105호(주안동, 관교한신휴플러스)",20.0,어린이집
키즈스마일어린이집,가정,37.47006986,126.6681244,인천광역시 미추홀구 장고개로36번길 36 굿모닝아파트106호,19.0,어린이집
키즈스쿨어린이집,가정,37.4609903,126.69058,"인천광역시 미추홀구 경원대로 884 121동 104호(주안동, 주안더월드스테이트)",20.0,어린이집
트루엘파크어린이집,국공립,37.44612417,126.669236,인천광역시 미추홀구 학익소로9번길 24 관리동 어린이집,30.0,어린이집
파란나라어린이집,민간,37.45164329,126.6665107,인천광역시 미추홀구 인하로163번길 57 (용현동),49.0,어린이집
파란들어린이집,민간,37.44267012,126.671806,인천광역시 미추홀구 학익소로61번길 30 (학익동),84.0,어린이집
파란새싹어린이집,민간,37.45713169,126.6898109,인천광역시 미추홀구 경원대로834번길 3 (주안동),49.0,어린이집
포레나어린이집,국공립,37.45752935,126.6817767,인천광역시 미추홀구 경인로 372 포레나인천미추홀 단지 내,52.0,어린이집
푸른나무어린이집,가정,37.46544658,126.685368,인천광역시 미추홀구 염창로 101 선정아파트 102호 (주안동),19.0,어린이집
푸른바다어린이집,민간,37.45853374,126.6378621,인천광역시 미추홀구 아암대로29번길 13 관리동 1층(용현대우푸르지오),25.0,어린이집
푸른섬어린이집,가정,37.44278566,126.6615216,"인천광역시 미추홀구 소성로 120 112동 102호(학익동, 동아풍림아파트)",20.0,어린이집
푸른숲어린이집,가정,37.44987706,126.6459726,"인천광역시 미추홀구 용정공원로 33 121동102호 (용현동, SK스카이뷰)",20.0,어린이집
푸른어린이집,가정,37.4548551,126.6436015,"인천광역시 미추홀구 낙섬동로 104 101동 102호(용현동, 용현동성원상떼빌)",20.0,어린이집
피카소어린이집,민간,37.45103829,126.6350653,인천광역시 미추홀구 낙섬서로18번길 13 피카소어린이집,123.0,어린이집
하람어린이집,가정,37.47348682,126.66569,"인천광역시 미추홀구 숙골로88번길 46 609동104호(도화동, e편한세상 도화6-1단지)",20.0,어린이집
하버드 어린이집,민간,37.45560316,126.6409534,인천광역시 미추홀구 낙섬중로94번길 4 (용현동),60.0,어린이집
하이얀어린이집,민간,37.44835197,126.68761,인천광역시 미추홀구 인하로 353 (주안동),116.0,어린이집
하임어린이집,가정,37.46736354,126.6452769,인천광역시 미추홀구 참외전로 268 105동 103호,20.0,어린이집
학익어린이집,가정,37.44278566,126.6615216,"인천광역시 미추홀구 소성로 120 108동 104호(학익동, 동아풍림)",20.0,어린이집
한결어린이집,민간,37.45046033,126.6655609,인천광역시 미추홀구 경인남길102번길 146 (용현동),53.0,어린이집
한아름어린이집,국공립,37.44624602,126.6903488,인천광역시 미추홀구 경원대로 714 (관교동),18.0,어린이집
한우리어린이집,국공립,37.44622827,126.6876276,인천광역시 미추홀구 경원대로 717 관리동 어린이집,30.0,어린이집
한울타리어린이집,국공립,37.44465236,126.6807325,인천광역시 미추홀구 주승로 94 (주안동),75.0,어린이집
해님이놀러온어린이집,가정,37.46347307,126.6833216,"인천광역시 미추홀구 경원대로 717 110동 104호(주안동, 관교한신휴플러스)",20.0,어린이집
해담어린이집,국공립,37.46792909,126.6859321,"인천광역시 미추홀구 염전로 414 (주안동, 주안역센트레빌)",71.0,어린이집
해든어린이집,국공립,37.443218,126.6449396,"인천광역시 미추홀구 독배로251번길 24 (학익동, 힐스테이트학익)",39.0,어린이집
해뜨는어린이집,민간,37.45654546,126.6761789,인천광역시 미추홀구 남주길125번길 59-1,80.0,어린이집
해맑은어린이집,가정,37.43823929,126.6739296,"인천광역시 미추홀구 소성로 240 5동 101호(학익동, 영남아파트)",14.0,어린이집
해솔어린이집,국공립,37.45261003,126.6361884,인천광역시 미추홀구 토금남로27번길 22 구립해솔어린이집,97.0,어린이집
해오름어린이집,민간,37.44638584,126.6857378,인천광역시 미추홀구 인하로330번길 29 (주안동),73.0,어린이집
해피아이어린이집,가정,37.46414343,126.6922384,"인천광역시 미추홀구 주안로193번길 12-25 103호(주안동, 대한빌라)",12.0,어린이집
행복한용마루어린이집,국공립,37.4585875,126.6422129,인천광역시 미추홀구 낙섬중로 129,57.0,어린이집
현광어린이집,가정,37.43783647,126.6543147,"인천광역시 미추홀구 매소홀로418번길 14-13 101동 106호(학익동, 학익현광2차아파트)",20.0,어린이집
현대아이사랑어린이집,가정,37.45922986,126.6837012,"인천광역시 미추홀구 경인로 395 1동 104호(주안동, 현대아파트)",20.0,어린이집
호산나어린이집,민간,37.4558907,126.6839485,인천광역시 미추홀구 동주길119번길 15-32,49.0,어린이집
휴먼빌어린이집,가정,37.45535247,126.6736049,"인천광역시 미추홀구 한나루로550번길 63 101동 106호(주안동, 휴먼빌A 101동)",20.0,어린이집
흰돌어린이집,민간,37.47197608,126.6635517,인천광역시 미추홀구 숙골로112번길 12 관리동어린이집,45.0,어린이집
프라임건영유치원,유치원_사립,37.45760907,126.6720813,미추홀구 남주길11번길 79,,유치원
밀알유치원,유치원_사립,37.4705382,126.6687627,미추홀구 장고개로42번길 42,,유치원
숭의유치원,유치원_사립,37.46064895,126.645004,미추홀구 독배로 485,,유치원
성바오로유치원,유치원_사립,37.45237063,126.6598509,미추홀구 경인남길102번길 50,,유치원
유원유치원,유치원_사립,37.45700596,126.6426,미추홀구 능해길 106,,유치원
금호유치원,유치원_사립,37.45034277,126.6318708,미추홀구 매소홀로 54,,유치원
노벨유치원,유치원_사립,37.45420736,126.6397288,미추홀구 낙섬중로 74,,유치원
세종유치원,유치원_사립,37.4559415,126.6376266,미추홀구 낙섬서로 77,,유치원
소명유치원,유치원_사립,37.45218715,126.6410416,미추홀구 낙섬동로 71-1,,유치원
반디유치원,유치원_사립,37.44042158,126.6614703,미추홀구 매소홀로 340,,유치원
한빛유치원,유치원_사립,37.44170089,126.6621802,미추홀구 소성로 120,,유치원
해승유치원,유치원_사립,37.44289546,126.6753345,미추홀구 학익소로61번길 93,,유치원
다솜유치원,유치원_사립,37.44561553,126.66981,미추홀구 학익소로23번길 11,,유치원
신동아유치원,유치원_사립,37.44103426,126.67557,미추홀구 매소홀로475번길 18,,유치원
그림나라유치원,유치원_사립,37.43709199,126.6838216,미추홀구 소성로332번길 10,,유치원
참빛유치원,유치원_사립,37.45818581,126.6660352,미추홀구 수봉로135번길 29,,유치원
건영유치원,유치원_사립,37.44935165,126.67259,미추홀구 인하로221번길 19,,유치원
동원유치원,유치원_사립,37.44959178,126.6741272,미추홀구 인하로235번길 27,,유치원
소라유치원,유치원_사립,37.45413538,126.6891756,미추홀구 경원대로 799,,유치원
하늘유치원,유치원_사립,37.45336691,126.6826651,미추홀구 미추홀대로626번길 47,,유치원
미주유치원,유치원_사립,37.46708661,126.6865653,미추홀구 석정로461번길 19,,유치원
연흥유치원,유치원_사립,37.46608524,126.6832235,미추홀구 석정로434번길 12,,유치원
용화유치원,유치원_사립,37.4681085,126.6816307,미추홀구 주염로 29,,유치원
솔샘유치원,유치원_사립,37.46184967,126.6963967,미추홀구 석산로 38,,유치원
국현유치원,유치원_사립,37.45102162,126.6772212,미추홀구 미추홀대로597번길 42,,유치원
도담유치원,유치원_사립,37.448136,126.6837711,미추홀구 인하로 319,,유치원
진흥유치원,유치원_사립,37.44543878,126.6825128,미추홀구 주승로 109,,유치원
인천용일초등학교병설유치원,유치원_공립,37.45245007,126.6633622,미추홀구 인주대로 244,,유치원
인천대화초등학교병설유치원,유치원_공립,37.46901872,126.6685307,미추홀구 석정로301번길 13,,유치원
인천도화초등학교병설유치원,유치원_공립,37.46314321,126.667845,미추홀구 경인로 242,,유치원
