학교ID,학교명,method,offset_m,reach_nodes,reach_edge_len_m,n_parts,v3_area_m2,v3_ratio,v2_osmnx_area_m2,valhalla_area_m2,v3_vs_v2,v3_vs_valhalla
B000003047,한일초등학교,exact_edge_trim_v3,69.2,13,1782.0,1,109403,0.1393,68191,138246,1.604,0.791
B000003091,인천주원초등학교,exact_edge_trim_v3,42.1,44,3786.3,1,181562,0.2312,107982,295516,1.681,0.614
B000003032,인천산곡초등학교,exact_edge_trim_v3,9.7,20,2213.8,1,128149,0.1632,66804,136476,1.918,0.939
B000003076,인천상아초등학교,exact_edge_trim_v3,44.9,15,1966.5,1,118438,0.1508,78101,231055,1.516,0.513
B000003055,인천함박초등학교,exact_edge_trim_v3,30.7,82,9190.0,1,349013,0.4444,337948,446372,1.033,0.782
B000003052,인천선학초등학교,exact_edge_trim_v3,6.6,64,5951.6,1,237225,0.302,236939,309145,1.001,0.767
B000002953,인천운서초등학교,exact_edge_trim_v3,58.7,97,8583.1,1,308840,0.3932,294434,380459,1.049,0.812
B000003069,인천박문초등학교,exact_edge_trim_v3,60.7,59,4671.5,1,179952,0.2291,164078,240407,1.097,0.749
B000003022,인천상정초등학교,exact_edge_trim_v3,22.7,24,4759.7,1,290411,0.3698,169169,334979,1.717,0.867
B000002973,인천용일초등학교,exact_edge_trim_v3,21.5,66,9965.3,1,466802,0.5944,384586,523198,1.214,0.892
B000003155,인천목향초등학교,exact_edge_trim_v3,31.0,6,1690.4,1,110695,0.1409,56681,126786,1.953,0.873
B000003089,인천고잔초등학교,exact_edge_trim_v3,51.7,17,2603.7,1,160659,0.2046,187727,221409,0.856,0.726
B000003096,인천소래초등학교,exact_edge_trim_v3,53.8,37,4225.3,1,182704,0.2326,160948,276477,1.135,0.661
B000002977,인천백학초등학교,exact_edge_trim_v3,11.8,101,9077.3,1,376237,0.479,314101,426186,1.198,0.883
B000003056,인천청학초등학교,exact_edge_trim_v3,15.5,118,10353.2,1,414775,0.5281,291961,458575,1.421,0.904
B000003073,인천정각초등학교,exact_edge_trim_v3,25.8,44,6200.6,1,348768,0.4441,171215,439471,2.037,0.794
B000003130,인천명현초등학교,exact_edge_trim_v3,40.9,77,7716.2,1,352096,0.4483,314815,452188,1.118,0.779
B000002974,인천용현초등학교,exact_edge_trim_v3,29.8,68,7213.4,1,340153,0.4331,292139,406899,1.164,0.836
B000003151,인천능내초등학교,exact_edge_trim_v3,53.8,55,4612.6,1,195097,0.2484,180093,272630,1.083,0.716
B000003058,인천연성초등학교,exact_edge_trim_v3,53.6,69,2852.1,1,96402,0.1227,99258,149589,0.971,0.644
B000003062,인천연수초등학교,exact_edge_trim_v3,19.1,21,1906.0,1,95146,0.1211,85992,142236,1.106,0.669
B000003080,인천동부초등학교,exact_edge_trim_v3,46.2,86,8175.3,1,354531,0.4514,281531,437307,1.259,0.811
B000003154,인천불로초등학교,exact_edge_trim_v3,56.4,13,2960.8,1,192796,0.2455,130019,271009,1.483,0.711
B000003181,송해초등학교,exact_edge_trim_v3,8.2,20,4391.9,1,289079,0.3681,784137,318665,0.369,0.907
B000003145,인천천마초등학교,exact_edge_trim_v3,13.8,30,3592.9,1,161880,0.2061,86063,184511,1.881,0.877
B000003018,인천부개서초등학교,exact_edge_trim_v3,13.7,53,6430.2,1,308186,0.3924,220156,376465,1.4,0.819
B000003188,내가초등학교,exact_edge_trim_v3,6.9,15,2872.9,1,202543,0.2579,15500,185207,13.067,1.094
B000002954,인천용유초등학교,exact_edge_trim_v3,25.2,31,3388.6,1,177732,0.2263,112247,205104,1.583,0.867
B000002978,인천도화초등학교,exact_edge_trim_v3,41.2,44,4334.1,1,224578,0.2859,193511,272811,1.161,0.823
B000003043,인천개흥초등학교,exact_edge_trim_v3,9.7,197,13993.1,1,479746,0.6108,418090,528920,1.147,0.907
B000003090,인천약산초등학교,exact_edge_trim_v3,20.2,131,10882.6,1,417338,0.5314,356137,454741,1.172,0.918
B000003146,인천봉수초등학교,exact_edge_trim_v3,26.8,46,7328.0,1,332296,0.4231,225655,385530,1.473,0.862
B000003084,인천은봉초등학교,exact_edge_trim_v3,38.2,77,7182.6,1,323413,0.4118,246727,427898,1.311,0.756
B000003174,양도초등학교,exact_edge_trim_v3,32.0,19,3409.7,1,219746,0.2798,15500,259377,14.177,0.847
B000025193,인천만월초등학교,exact_edge_trim_v3,45.1,50,4188.7,1,213749,0.2722,138874,247333,1.539,0.864
B000025226,인천송일초등학교,exact_edge_trim_v3,19.1,25,4116.9,1,226840,0.2888,96170,370390,2.359,0.612
B000003014,인천진산초등학교,exact_edge_trim_v3,43.1,13,1443.1,1,64085,0.0816,43298,127360,1.48,0.503
B000002972,인천용정초등학교,exact_edge_trim_v3,35.6,93,8841.3,1,411765,0.5243,335299,529763,1.228,0.777
B000003070,인천남촌초등학교,exact_edge_trim_v3,54.1,150,10795.2,1,368572,0.4693,333030,447379,1.107,0.824
B000003115,인천신대초등학교,exact_edge_trim_v3,57.0,18,2457.6,1,137072,0.1745,132605,193028,1.034,0.71
B000002958,인천삼목초등학교,exact_edge_trim_v3,20.6,58,4300.6,1,201961,0.2571,121826,259039,1.658,0.78
B000003011,인천갈산초등학교,exact_edge_trim_v3,62.1,42,2125.5,1,95122,0.1211,89082,169698,1.068,0.561
B000003156,인천왕길초등학교,exact_edge_trim_v3,41.7,84,7183.3,1,324261,0.4129,260198,422844,1.246,0.767
B000003093,인천석천초등학교,exact_edge_trim_v3,24.0,34,4574.5,1,263499,0.3355,57125,392598,4.613,0.671
B000002966,인천송림초등학교,exact_edge_trim_v3,20.9,242,17998.8,1,477244,0.6076,407578,546182,1.171,0.874
B000003036,인천신촌초등학교,exact_edge_trim_v3,40.1,121,8998.2,1,335759,0.4275,283018,463393,1.186,0.725
B000003028,인천부흥초등학교,exact_edge_trim_v3,17.1,133,13724.2,1,536615,0.6832,454730,599656,1.18,0.895
B000002971,인천숭의초등학교,exact_edge_trim_v3,27.2,97,7430.1,1,306132,0.3898,218717,381064,1.4,0.803
B000003029,인천부평동초등학교,exact_edge_trim_v3,16.2,157,14211.6,1,520889,0.6632,445884,581798,1.168,0.895
B000026468,인천아람초등학교,exact_edge_trim_v3,69.8,22,1934.7,1,102296,0.1302,66820,126990,1.531,0.806
