학교ID,학교명,gu,iso_child_total,iso_child_6_12,child_pop_quartile,expected_park_count,gap_count,expected_park_area,gap_area,case_type,priority_score,redev_완료수,redev_진행중수,redev_예정수,redev_status,trend_score,priority_rank,student_slope,is_new_school,cohort_change_2029,cohort_change_2031,cohort_change_2029_prophet,cohort_change_2031_prophet,nearest_park_dist_m,case_label,is_island_tag,is_walk_fallback_tag,iso_park_count,iso_park_area,buf_park_count,buf_park_area,access_ratio,iso_green_ratio,iso_playground_count,is_separate_bundle_tag,is_low_access_tag,is_case_conflict_tag,isochrone_area_m2,iso_park_count_raw,iso_park_area_raw,green_bucket,iso_green_ratio_raw
B000002980,인천관교초등학교,미추홀구,681,444,Q4,2.485294117647059,2.514705882352941,45218.47352941177,-37114.07352941177,3,2.0,0,0,1,예정만,,,-54.17142857142858,0,1.1,1.157,0.90451993467452,0.8662626373940179,201.4,"접근 가능, 중간 수준",0,0,5,6383.360919413235,6,9805.7,0.8333333333333334,1.1933594499510523,0,0,0,0,534906.8061324742,5,6383.360919413235,middle,1.1933594499510523
B000002981,인천경원초등학교,미추홀구,1008,658,Q4,2.485294117647059,0.5147058823529411,45218.47352941177,-41677.273529411774,3,2.0,0,1,1,진행중포함,,,-80.1142857142857,0,1.1,1.157,0.90451993467452,0.8662626373940179,73.2,"접근 가능, 중간 수준",0,0,3,3535.5142246182722,3,3541.2,1.0,0.6813686488501852,0,0,0,0,518884.1944202275,3,3535.5142246182722,middle,0.6813686488501852
B000002982,인천석암초등학교,미추홀구,695,408,Q4,2.485294117647059,-2.485294117647059,45218.47352941177,-45218.47352941177,1,4.0,0,0,1,예정만,0.6834870848708486,1,18.142857142857142,0,1.1,1.157,0.90451993467452,0.8662626373940179,947.1,공원 접근 불가,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,312278.69307846954,0,0.0,,0.0
B000002983,인천남부초등학교,미추홀구,842,510,Q4,2.485294117647059,-1.4852941176470589,45218.47352941177,-43566.47352941177,2,3.0,0,0,1,예정만,,,-67.34285714285716,0,1.1,1.157,0.90451993467452,0.8662626373940179,305.0,접근 가능하나 녹지 부족,0,0,1,1649.3475372947514,4,15656.1,0.25,0.3075397730452002,0,0,1,0,536303.8155888673,1,1649.3475372947514,low,0.3075397730452002
B000002984,인천승학초등학교,미추홀구,240,168,Q2,1.8823529411764703,-0.8823529411764706,13001.352985294116,-11300.052985294118,3,2.0,0,0,0,없음,,,-36.02857142857143,0,1.1,1.157,0.90451993467452,0.8662626373940179,346.7,"접근 가능, 중간 수준",0,0,1,1698.5683808692136,2,353472.1,0.5,0.7145333597053747,0,0,1,0,237717.1559309125,1,1698.5683808692136,middle,0.7145333597053747
B000002985,인천서화초등학교,미추홀구,484,287,Q3,2.544117647058824,2.4558823529411766,37061.58676470589,-12853.486764705884,4,1.0,0,0,0,없음,,,94.68571428571433,0,1.1,1.157,0.90451993467452,0.8662626373940179,249.1,접근 양호,0,0,3,24169.231306044294,5,47825.4,0.6,5.050342805852847,2,0,0,0,478566.15352990595,3,24169.231306044294,high,5.050342805852847
B000002986,인천대화초등학교,미추홀구,995,619,Q4,2.485294117647059,-1.4852941176470589,45218.47352941177,-42839.67352941177,2,3.0,0,1,3,진행중포함,,,-38.82857142857143,0,1.1,1.157,0.90451993467452,0.8662626373940179,254.6,접근 가능하나 녹지 부족,0,0,1,2125.4381814698836,1,2378.8,1.0,0.4674448003688851,0,0,0,0,454692.870643248,1,2125.4381814698836,low,0.4674448003688851
B000002987,인천주안북초등학교,미추홀구,507,283,Q3,2.544117647058824,-1.5441176470588234,37061.58676470589,-34956.28676470588,2,3.0,0,0,2,예정만,,,-12.171428571428573,0,1.1,1.157,0.90451993467452,0.8662626373940179,279.4,접근 가능하나 녹지 부족,0,0,1,2101.9197156562386,1,2105.3,1.0,0.429432167542661,0,0,0,0,489464.8967924435,1,2101.9197156562386,low,0.429432167542661
B000002989,인천주안남초등학교,미추홀구,837,504,Q4,2.485294117647059,-1.4852941176470589,45218.47352941177,-43565.273529411774,2,3.0,0,0,2,예정만,,,-46.05714285714286,0,1.1,1.157,0.90451993467452,0.8662626373940179,60.5,접근 가능하나 녹지 부족,0,0,1,1650.5456105658452,1,1653.2,1.0,0.3238374781381876,0,0,0,0,509683.32018121943,1,1650.5456105658452,low,0.3238374781381876
B000002990,인천학익초등학교,미추홀구,153,99,Q1,1.088235294117647,-1.088235294117647,5676.2411764705885,-5676.2411764705885,1,4.0,0,0,0,없음,,20,-35.45714285714285,0,1.1,1.157,0.90451993467452,0.8662626373940179,784.3,공원 접근 불가,0,0,0,0.0,2,14798.3,0.0,0.0,0,0,0,0,201053.38510554828,0,0.0,,0.0
