grid_id,cx,cy,gu,gu_assignment_method,linked_schools,linked_school_count,worst_case_type,avg_green_ratio,avg_playground_count,avg_park_dist_m,land_feasibility_level,priority_score,candidate_rank,candidate_total_pop_current,candidate_child_current,gu_predicted_2029,gu_predicted_2031,actual_2025,gu_growth_factor_2029,gu_growth_factor_2031,legacy_forecast_2029,legacy_forecast_2031,legacy_xgb_predicted_2029,legacy_xgb_predicted_2031,forecast_2029,forecast_2031,xgb_predicted_2029,xgb_predicted_2031,nearest_park_dist,nearest_pg_dist,demand_label,demand_note,demand_model_version
CG_01415,126.73389575385185,37.486903716978226,부평구,linked_school_majority,"['인천부개초등학교', '인천동수초등학교']",2,2.0,0.903,0.0,421.35,medium,84.8,527,1215.583,101.786,31630,28973,36723,0.8613130735506358,0.7889605969011246,819,739,819,739,88,80,88,80,719.0,3155.0,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01414,126.73389575385185,37.48465371697823,부평구,linked_school_majority,"['인천부개초등학교', '인천동수초등학교']",2,2.0,0.903,0.0,421.35,medium,122.6,307,1773.154,147.183,31630,28973,36723,0.8613130735506358,0.7889605969011246,819,739,819,739,127,116,127,116,559.9,2989.5,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01024,126.70689575385181,37.5049037169782,부평구,linked_school_majority,"['인천부곡초등학교', '인천부마초등학교', '인천마장초등학교']",3,1.0,0.288,0.0,687.033,high,496.2,8,3696.7,397.491,31630,28973,36723,0.8613130735506358,0.7889605969011246,1511,1250,1511,1250,342,314,342,314,779.6,4734.4,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01336,126.72939575385185,37.49815371697821,부평구,linked_school_majority,"['인천부흥초등학교', '인천부평동초등학교']",2,2.0,0.701,0.0,285.55,medium,145.8,234,2314.494,174.909,31630,28973,36723,0.8613130735506358,0.7889605969011246,1744,1667,1744,1667,151,138,151,138,408.4,4058.8,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01299,126.72714575385184,37.493653716978216,부평구,linked_school_majority,"['인천부흥초등학교', '인천부평서초등학교']",2,2.0,0.558,0.0,233.05,medium,70.6,644,1127.459,84.969,31630,28973,36723,0.8613130735506358,0.7889605969011246,1551,1486,1551,1486,73,67,73,67,469.0,3587.5,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01170,126.71814575385183,37.45990371697827,남동구,linked_school_majority,"['인천간석초등학교', '인천인동초등학교', '인천정각초등학교']",3,2.0,0.732,0.0,245.7,medium,52.4,833,1461.695,124.068,18709,10219,36005,0.5196222746840716,0.28382169143174557,1411,995,1411,995,64,35,64,35,136.0,768.1,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01303,126.72714575385184,37.5026537169782,부평구,linked_school_majority,"['인천개흥초등학교', '인천부평동초등학교']",2,2.0,2.024,0.0,421.75,medium,114.4,339,1931.764,137.527,31630,28973,36723,0.8613130735506358,0.7889605969011246,976,881,976,881,118,109,118,109,378.7,4735.5,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_00335,126.65289575385172,37.42615371697832,연수구,linked_school_majority,"['인천옥련초등학교', '인천능허대초등학교', '인천축현초등학교', '인천송도초등학교']",4,2.0,0.757,1.0,300.625,medium,107.2,369,1588.811,111.792,45549,44742,47287,0.9632457123522321,0.9461797111256793,1478,1228,1478,1228,108,106,108,106,205.3,629.9,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_00998,126.7046457538518,37.50940371697819,부평구,linked_school_majority,"['인천부마초등학교', '인천산곡초등학교', '인천산곡북초등학교']",3,1.0,0.387,0.0,642.0,high,9.9,1393,70.658,7.602,31630,28973,36723,0.8613130735506358,0.7889605969011246,1554,1518,1554,1518,7,6,7,6,644.5,5094.6,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_00967,126.7023957538518,37.50940371697819,부평구,linked_school_majority,"['인천부마초등학교', '인천산곡초등학교', '인천산곡북초등학교']",3,1.0,0.387,0.0,642.0,high,81.0,557,601.135,64.677,31630,28973,36723,0.8613130735506358,0.7889605969011246,1554,1518,1554,1518,56,51,56,51,432.2,5081.2,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01273,126.72489575385184,37.49590371697821,부평구,linked_school_majority,"['인천부평동초등학교', '인천부평서초등학교']",2,2.0,0.435,0.0,356.5,medium,85.2,523,1358.546,102.667,31630,28973,36723,0.8613130735506358,0.7889605969011246,1289,1169,1289,1169,88,81,88,81,568.3,3967.4,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
