grid_id,cx,cy,linked_school_count,forecast_2029_x,forecast_2031_x,worst_case_type,avg_green_ratio,avg_playground_count,avg_park_dist_m,land_feasibility_level,priority_score,candidate_rank,xgb_predicted_2029_x,xgb_predicted_2031_x,forecast_2029_y,forecast_2031_y,xgb_predicted_2029_y,xgb_predicted_2031_y,original_forecast_2029,original_forecast_2031,original_xgb_predicted_2029,original_xgb_predicted_2031,forecast_2029,forecast_2031,xgb_predicted_2029,xgb_predicted_2031,nearest_park_dist,nearest_pg_dist,linked_schools
CG_00710,126.67989575385177,37.46440371697826,1,342,361,2.0,0.0,0.0,279.4,medium,349.6,892,485,448,309,287,309,287,,,,,309,287,309,287,486.4,1878.9,['인천주안북초등학교']
CG_00940,126.7001457538518,37.50940371697819,1,347,338,3.0,1.162,0.0,351.9,low,343.4,893,305,363,530,553,530,553,,,,,530,553,530,553,202.2,5222.7,['인천산곡북초등학교']
CG_00999,126.7046457538518,37.51165371697819,1,347,338,3.0,1.162,0.0,351.9,low,343.4,894,387,415,530,553,530,553,,,,,530,553,530,553,676.1,5392.7,['인천산곡북초등학교']
CG_01000,126.7046457538518,37.51390371697818,1,347,338,3.0,1.162,0.0,351.9,low,343.4,895,441,405,530,553,530,553,,,,,530,553,530,553,426.7,5553.9,['인천산곡북초등학교']
CG_01437,126.73389575385184,37.54765371697813,1,340,348,2.0,0.0,0.0,722.9,medium,343.2,896,300,183,161,149,161,149,,,,,161,149,161,149,35.2,9965.4,['인천안산초등학교']
CG_01436,126.73389575385184,37.545403716978136,1,340,348,2.0,0.0,0.0,722.9,medium,343.2,897,300,183,161,149,161,149,,,,,161,149,161,149,451.1,9645.6,['인천안산초등학교']
CG_01352,126.72939575385185,37.545403716978136,1,340,348,2.0,0.0,0.0,722.9,medium,343.2,898,294,210,161,149,161,149,,,,,161,149,161,149,664.8,9661.4,['인천안산초등학교']
CG_01316,126.72714575385184,37.545403716978136,1,340,348,2.0,0.0,0.0,722.9,medium,343.2,899,300,216,161,149,161,149,,,,,161,149,161,149,482.0,9621.2,['인천안산초등학교']
CG_01394,126.73164575385184,37.545403716978136,1,340,348,2.0,0.0,0.0,722.9,medium,343.2,900,297,218,161,149,161,149,,,,,161,149,161,149,462.5,9812.9,['인천안산초등학교']
CG_01353,126.72939575385185,37.54765371697813,1,340,348,2.0,0.0,0.0,722.9,medium,343.2,901,294,210,161,149,161,149,,,,,161,149,161,149,455.6,9791.1,['인천안산초등학교']
CG_01395,126.73164575385184,37.54765371697813,1,340,348,2.0,0.0,0.0,722.9,medium,343.2,902,297,218,161,149,161,149,,,,,161,149,161,149,172.0,9982.8,['인천안산초등학교']
CG_00780,126.68439575385176,37.48690371697823,1,340,344,3.0,4.702,1.0,192.3,low,341.6,903,536,541,245,191,245,191,,,,,245,191,245,191,262.4,2730.3,['인천가좌초등학교']
CG_00804,126.68664575385178,37.48690371697823,1,340,344,3.0,4.702,1.0,192.3,low,341.6,904,521,535,245,191,245,191,,,,,245,191,245,191,0.0,2731.3,['인천가좌초등학교']
CG_01003,126.7046457538518,37.58815371697807,1,328,320,3.0,1.736,0.0,175.0,low,324.8,905,357,366,1624,1547,1624,1547,,,,,1624,1547,1624,1547,294.2,15728.1,['인천해든초등학교']
CG_01124,126.71364575385182,37.58590371697807,1,328,320,3.0,1.736,0.0,175.0,low,324.8,906,518,684,1624,1547,1624,1547,,,,,1624,1547,1624,1547,300.1,15318.8,['인천해든초등학교']
CG_01123,126.71364575385182,37.58365371697808,1,328,320,3.0,1.736,0.0,175.0,low,324.8,907,518,547,1624,1547,1624,1547,,,,,1624,1547,1624,1547,109.7,15068.2,['인천해든초등학교']
CG_01070,126.7091457538518,37.58590371697807,1,328,320,3.0,1.736,0.0,175.0,low,324.8,908,638,682,1624,1547,1624,1547,,,,,1624,1547,1624,1547,95.1,15264.3,['인천해든초등학교']
CG_01031,126.7068957538518,37.58365371697808,1,328,320,3.0,1.736,0.0,175.0,low,324.8,909,431,391,1624,1547,1624,1547,,,,,1624,1547,1624,1547,616.0,14964.1,['인천해든초등학교']
CG_01001,126.7046457538518,37.58365371697808,1,328,320,3.0,1.736,0.0,175.0,low,324.8,910,269,270,1624,1547,1624,1547,,,,,1624,1547,1624,1547,616.0,14964.1,['인천해든초등학교']
CG_01032,126.7068957538518,37.58590371697807,1,328,320,3.0,1.736,0.0,175.0,low,324.8,911,489,489,1624,1547,1624,1547,,,,,1624,1547,1624,1547,276.7,15303.3,['인천해든초등학교']
CG_01034,126.7068957538518,37.59040371697807,1,328,320,3.0,1.736,0.0,175.0,low,324.8,912,550,505,1624,1547,1624,1547,,,,,1624,1547,1624,1547,283.0,15758.3,['인천해든초등학교']
CG_01033,126.7068957538518,37.58815371697807,1,328,320,3.0,1.736,0.0,175.0,low,324.8,913,489,487,1624,1547,1624,1547,,,,,1624,1547,1624,1547,253.2,15509.1,['인천해든초등학교']
CG_01100,126.71139575385182,37.58365371697808,1,328,320,3.0,1.736,0.0,175.0,low,324.8,914,642,542,1624,1547,1624,1547,,,,,1624,1547,1624,1547,230.5,14947.4,['인천해든초등학교']
CG_01071,126.7091457538518,37.58815371697807,1,328,320,3.0,1.736,0.0,175.0,low,324.8,915,638,680,1624,1547,1624,1547,,,,,1624,1547,1624,1547,0.0,15596.8,['인천해든초등학교']
CG_01101,126.71139575385182,37.58590371697807,1,328,320,3.0,1.736,0.0,175.0,low,324.8,916,642,679,1624,1547,1624,1547,,,,,1624,1547,1624,1547,0.0,15316.6,['인천해든초등학교']
