구명,구역명,위치,면적,사업유형,진행단계,출처,위도,경도
서구,가좌라이프빌라,가좌동 344번지 일원,53855.0,재건축,준공,도시정비,37.4848634848337,126.685757355185
서구,가좌진주1차A,가좌동 30-2번지,21484.45,재건축,조합설립인가,도시정비,37.4936552405893,126.682766997356
서구,롯데우람A,석남동 491-3번지 일원,15244.0,재건축,착공,도시정비,37.5071723348509,126.677636366977
서구,가좌3구역,원적로 47번길 일원,228810.0,주거환경개선(현지개량),준공,도시정비,37.491384287294,126.677915005266
서구,신현원마을,새오개로 48번길 일원,55000.0,주거환경개선(현지개량),착공,도시정비,37.5142819108445,126.66658632026
서구,석남5,석남동 573-36번지 일원,53349.0,정비구역지정(후보지 1차),정비구역지정(후보지 1차),도시정비,,
서구,가정동497번지일원,가정동 497번지 일원,35710.0,정비구역지정(후보지 2차),정비구역지정(후보지 2차),도시정비,37.5204012895624,126.675176455127
서구,가정동520-25번지일원,가정동 520-25번지 일원,112658.0,정비구역지정(후보지 2차),정비구역지정(후보지 2차),도시정비,37.5153269915326,126.675158860336
서구,가좌동350-10번지일원,가좌동 350-10번지 일원,79493.0,정비구역지정(후보지 2차),정비구역지정(후보지 2차),도시정비,37.4873415605785,126.685637862676
서구,서부여성회관역가좌동일원,가좌동171번지 일원,139836.0,정비구역지정(후보지 2차),정비구역지정(후보지 2차),도시정비,37.4988579088678,126.676358489267
서구,석남역남측,석남동 551번지 일원,76383.0,정비구역지정(후보지 2차),정비구역지정(후보지 2차),도시정비,37.505999555148,126.676568334216
서구,신현동287-58번지일원,신현동 287-58번지 일원,79156.0,정비구역지정(후보지 2차),정비구역지정(후보지 2차),도시정비,37.5153457914999,126.67007664357
서구,가재울숲문화마을,가좌동 310번지 일원,76263.6,주거환경개선(현지개량),사업시행계획인가,도시정비,37.4885823956764,126.683165093596
강화군,온수리마을,길상면 온수리 502-3번지,97439.0,주거환경개선(현지개량),준공,도시정비,37.6407289007263,126.491167885018
중구,신흥삼익아파트 1단지 가로주택정비사업구역,인천광역시 중구 신흥동2가 54-5 1단지 일원,7347.9,가로주택,조합설립인가,소규모정비,37.4648213388406,126.632768780892
중구,신흥삼익아파트 2단지 가로주택정비사업구역,인천광역시 중구 신흥동2가 54-7 2단지 일원,6735.5,가로주택,조합설립인가,소규모정비,37.4642741480545,126.632417996244
동구,송현2동 72번지 일원,송현동 72-185번지 일원,4670.81,가로주택,조합설립인가,소규모정비,37.4771203041139,126.633106219207
동구,송림동67-10번지 일원,송림동 67-10번지 일원,4236.15,가로주택,조합설립인가,소규모정비,37.4739513910314,126.645146588589
미추홀구,인천 숭의2 LH참여형,숭의동 177번지 일원,3028.4,가로주택,착공,소규모정비,,
미추홀구,인천 용현1 LH참여형,용현동 568-2 진달래@,2958.3,가로주택,착공,소규모정비,37.4572425878142,126.641626057244
미추홀구,로얄맨션,주안동882-1,6192.9,소규모재건축,착공,소규모정비,37.4639192771237,126.690762273439
미추홀구,용현5동새한아파트,용현동627-80,5390.0,소규모재건축,착공,소규모정비,37.4512154061721,126.633728242814
미추홀구,주안 상일연립,주안동 85-6,925.0,가로주택,사업시행계획인가,소규모정비,37.4602862755383,126.683462653988
미추홀구,숭의동 289-1,숭의동 289-1번지 일원,7936.8,가로주택,사업시행계획인가,소규모정비,37.4594800924362,126.653141523952
미추홀구,용현3,용현동 146-275번지 일원,5912.0,가로주택,사업시행계획인가,소규모정비,37.4557503630116,126.655604215709
미추홀구,우남아파트,도화동 573-1,3636.64,소규모재건축,사업시행계획인가,소규모정비,37.4648056711437,126.66971186099
미추홀구,삼덕진주아파트,주안동 22-34번지 일원,4253.2,소규모재건축,사업시행계획인가,소규모정비,37.4659480719669,126.685502856051
미추홀구,삼영아파트,주안동 1574-2,7047.9,소규모재건축,사업시행계획인가,소규모정비,37.4477386950568,126.691112770134
미추홀구,용현 진달래,용현동 568-3 외 2필지,1851.8,가로주택,건축심의완료,소규모정비,,
미추홀구,학골,학익동 36-2번지 일원,8804.06,가로주택,건축심의완료,소규모정비,37.4422889104283,126.67113434101
미추홀구,동인아파트 가로주택정비사업,미추홀구 주안동 31-1번지 일원,5148.3,가로주택,건축심의완료,소규모정비,37.4653619562041,126.682198640586
미추홀구,주안동 32-2번지 일원,미추홀구 주안동 32-2번지,7392.13,가로주택,건축심의완료,소규모정비,37.4649651710405,126.685032446536
미추홀구,성락아파트,도화동 109-1번지,5197.5,소규모재건축,건축심의완료,소규모정비,37.4696143077262,126.667577359706
미추홀구,대진아파트,용현동 574-3번지 일원,5297.1,소규모재건축,건축심의완료,소규모정비,37.4571522517671,126.638413428313
미추홀구,대호아파트 주변,숭의동 170-12 일원,4212.0,가로주택,건축심의완료,소규모정비,37.4613953257337,126.645507273685
미추홀구,도화동 태화아파트,도화동 105-1번지,7736.4,소규모재건축,건축심의완료,소규모정비,37.4688920091533,126.667462994267
미추홀구,현대아파트,숭의동 129-96번지,7306.9,소규모재건축,건축심의완료,소규모정비,37.4655714494319,126.648811640933
미추홀구,부성로얄아파트,용현동 615-2 외 1필지,6643.2,가로주택,조합설립인가,소규모정비,,
미추홀구,용남아파트,미추홀구 용현동 68-20번지,1901.5,가로주택,조합설립인가,소규모정비,37.4513970898222,126.664864241328
미추홀구,도화3동 6-30 일원 가로주택정비사업,도화동 6-30번지 일원,5559.3,가로주택,조합설립인가,소규모정비,37.4762415512905,126.656452052659
미추홀구,석암 가로주택정비사업,미추홀구 주안동 991-11번지 일원,1412.2,가로주택,조합설립인가,소규모정비,37.4605686966146,126.688532091808
미추홀구,용현동 삼익아파트 가로주택정비사업,미추홀구 용현동 565-95 외 1필지,6173.9,가로주택,조합설립인가,소규모정비,,
미추홀구,성신아파트,용현동 627-85,6033.0,소규모재건축,조합설립인가,소규모정비,37.452583424353,126.630376590823
미추홀구,다복아파트,숭의동 129-83번지,3305.4,소규모재건축,조합설립인가,소규모정비,37.4652033452935,126.648979187498
미추홀구,주안미도아파트 소규모재건축정비사업,미추홀구 주안동 18-2번지,7716.3,소규모재건축,조합설립인가,소규모정비,37.4685909969359,126.68263815611
미추홀구,용현동 수정아파트,용현동 627-111 외 5필지,5666.4,소규모재건축,조합설립인가,소규모정비,,
미추홀구,"도화동89-23, 24","미추홀구 도화동 89-23,89-24",276.5,자율주택,주민합의체,소규모정비,,
미추홀구,"주안동 917-11, 917-39","미추홀구 주안동 917-11, 917-39",423.4,자율주택,주민합의체,소규모정비,,
남동구,인천만수1 LH참여형,만수동 1-90번지 일원,2133.0,가로주택,건축심의완료,소규모정비,37.4670056503407,126.738669958068
