관리번호,공원명,공원구분,위도,경도,공원면적,gu,nearest_school,nearest_school_dist_m
28245-00036,동양택지2공원,어린이공원,37.558658,126.758387,1930.2,계양구,인천당산초등학교,101.2
28245-00035,동양택지1공원,어린이공원,37.559059,126.753403,2368.0,계양구,인천당산초등학교,542.96
28245-00034,굴재공원,어린이공원,37.567896,126.749039,1600.4,계양구,인천귤현초등학교,193.27
28245-00051,목숙교공원,소공원,37.5308974758,126.754827,2919.1,계양구,인천서운초등학교,994.04
28245-00050,길머리공원,소공원,37.5361447811,126.753471,4999.5,계양구,인천신대초등학교,928.15
28245-00049,박촌공원,어린이공원,37.557544,126.747451,4019.0,계양구,인천소양초등학교,457.34
28245-00048,양촌공원,어린이공원,37.548758,126.745885,4285.0,계양구,인천양촌초등학교,246.76
28245-00047,소양공원,어린이공원,37.558197,126.741599,2431.0,계양구,인천소양초등학교,230.42
28245-00046,들놀이공원,어린이공원,37.565824,126.751777,6285.0,계양구,인천귤현초등학교,518.38
28245-00045,계산1호공원,어린이공원,37.542757,126.723728,1197.4,계양구,인천부평초등학교,96.69
28245-00044,살나리공원,어린이공원,37.536298,126.746173,2053.5,계양구,인천신대초등학교,373.55
28245-00043,서녘공원,어린이공원,37.560911,126.757735,1517.3,계양구,인천당산초등학교,292.54
28245-00042,모텡이공원,어린이공원,37.561596,126.754568,1637.5,계양구,인천당산초등학교,543.92
28245-00041,양지말공원,어린이공원,37.563848,126.754115,8957.7,계양구,인천당산초등학교,745.57
28245-00040,장터공원,어린이공원,37.578382,126.736734,2202.8,계양구,인천계양초등학교,288.01
28245-00039,중앙공원,어린이공원,37.577607,126.734374,2384.5,계양구,인천계양초등학교,190.28
28245-00038,장기공원,어린이공원,37.577702,126.731422,1683.8,계양구,인천계양초등학교,259.08
28245-00064,서운공원,어린이공원,37.528747,126.7482088787,3191.1,계양구,인천서운초등학교,366.93
28245-00063,꿈나무공원,어린이공원,37.529688,126.711728,4741.0,계양구,인천명현초등학교,258.42
28245-00062,쑥쑥공원,어린이공원,37.528281,126.715082,1532.0,계양구,인천효성남초등학교,43.11
28245-00061,귤현3공원,어린이공원,37.564738,126.74841,1506.0,계양구,인천귤현초등학교,440.51
28245-00060,귤현2공원,어린이공원,37.566854,126.749699,1507.0,계양구,인천귤현초등학교,302.91
28245-00059,귤현1공원,어린이공원,37.568514,126.750446,1508.1,계양구,인천귤현초등학교,303.57
28245-00058,도두머리공원,근린공원,37.527673,126.745215,12365.0,계양구,인천서운초등학교,93.72
28245-00057,귤현공원,근린공원,37.567293,126.747116,33.003,계양구,인천귤현초등학교,139.53
28245-00055,상야공원,어린이공원,37.580616,126.778864,1500.5,계양구,인천계양초등학교상야분교장,208.6
28245-00054,장성제공원,근린공원,37.529492,126.74813,20527.9,계양구,인천서운초등학교,413.46
28245-00053,장두못공원,근린공원,37.529493,126.74813,25236.3,계양구,인천서운초등학교,413.54
28200-00101,소촌공원,어린이공원,37.43043644,126.7151643,524.0,남동구,인천남촌초등학교,190.76
28110-00003,박석공원,근린공원,37.49473516,126.5637807,352000.0,중구,인천중산초등학교,142.45
