candidate_id,excluded_by_school,exclude_reason,matched_inst_name,matched_inst_type,matched_distance_m,polygon_used,radius_rule_applied
CG_01269,False,,,,,False,
CG_01464,False,,,,,False,
CG_01466,False,,,,,False,
CG_01465,False,,,,,False,
CG_01426,False,,,,,False,
CG_01425,False,,,,,False,
CG_01427,False,,,,,False,
CG_01389,False,,,,,False,
CG_01356,False,,,,,False,
CG_01355,False,,,,,False,
CG_01388,False,,,,,False,
CG_00314,False,,,,,False,
CG_00257,False,,,,,False,
CG_00258,True,inside_polygon,송도고등학교,학교,0.0,True,
CG_00277,False,,,,,False,
CG_00448,False,,,,,False,
CG_00476,True,inside_polygon,인천비즈니스고등학교,학교,0.0,True,
CG_00512,False,,,,,False,
CG_00514,False,,,,,False,
CG_00474,False,,,,,False,
CG_00447,False,,,,,False,
CG_00449,False,,,,,False,
CG_00475,False,,,,,False,
CG_00562,False,,,,,False,
CG_00563,False,,,,,False,
CG_00513,True,inside_polygon_buffer,대화초등학교,학교,5.0,True,
CG_00561,False,,,,,False,
CG_00772,False,,,,,False,
CG_00824,False,,,,,False,
CG_00842,False,,,,,False,
CG_00799,False,,,,,False,
CG_00769,False,,,,,False,
CG_00770,False,,,,,False,
CG_00771,False,,,,,False,
CG_00825,False,,,,,False,
CG_00802,False,,,,,False,
CG_00801,False,,,,,False,
CG_00800,False,,,,,False,
CG_00728,False,,,,,False,
CG_01082,False,,,,,False,
CG_01125,False,,,,,False,
CG_01081,False,,,,,False,
CG_01126,False,,,,,False,
CG_01124,False,,,,,False,
CG_01543,False,,,,,False,
CG_01032,False,,,,,False,
CG_01030,False,,,,,False,
CG_01033,False,,,,,False,
CG_01063,False,,,,,False,
CG_01031,False,,,,,False,
CG_01062,False,,,,,False,
CG_01066,False,,,,,False,
CG_01064,True,inside_polygon,상인천초등학교,학교,0.0,True,
CG_01107,False,,,,,False,
CG_01108,False,,,,,False,
CG_01106,False,,,,,False,
CG_01065,False,,,,,False,
CG_01109,False,,,,,False,
CG_01110,False,,,,,False,
CG_01155,False,,,,,False,
CG_00948,True,inside_polygon,nan,학교,0.0,True,
CG_00981,False,,,,,False,
CG_00980,False,,,,,False,
CG_00949,False,,,,,False,
CG_01013,False,,,,,False,
CG_01014,False,,,,,False,
CG_01341,False,,,,,False,
CG_00250,False,,,,,False,
CG_00268,False,,,,,False,
CG_00251,True,inside_polygon,신정초등학교,학교,0.0,True,
CG_00253,False,,,,,False,
CG_00252,True,inside_polygon,채드윅 송도 국제학교,학교,0.0,True,
CG_00270,False,,,,,False,
CG_00269,False,,,,,False,
CG_00285,False,,,,,False,
CG_00284,False,,,,,False,
CG_00232,False,,,,,False,
CG_00341,False,,,,,False,
CG_00374,False,,,,,False,
CG_00373,False,,,,,False,
CG_00420,False,,,,,False,
CG_00400,True,inside_polygon_buffer,용정초등학교,학교,0.6,True,
CG_00401,False,,,,,False,
CG_00178,True,inside_polygon,인천정보과학고등학교,학교,0.0,True,
CG_00179,False,,,,,False,
CG_00912,False,,,,,False,
CG_00911,True,inside_polygon,상정고등학교,학교,0.0,True,
CG_00944,False,,,,,False,
CG_00976,False,,,,,False,
CG_00945,False,,,,,False,
CG_00910,False,,,,,False,
CG_00943,False,,,,,False,
CG_00977,False,,,,,False,
CG_01004,False,,,,,False,
CG_01005,False,,,,,False,
CG_00975,False,,,,,False,
CG_00414,False,,,,,False,
CG_01249,False,,,,,False,
CG_01314,False,,,,,False,
CG_01283,False,,,,,False,
CG_01313,False,,,,,False,
CG_01286,False,,,,,False,
CG_01285,False,,,,,False,
CG_01284,False,,,,,False,
CG_01186,False,,,,,False,
CG_01209,False,,,,,False,
CG_01211,False,,,,,False,
CG_01244,False,,,,,False,
CG_01243,False,,,,,False,
CG_01210,False,,,,,False,
CG_01242,False,,,,,False,
CG_01280,False,,,,,False,
CG_01185,False,,,,,False,
CG_01282,False,,,,,False,
CG_01281,False,,,,,False,
CG_01184,False,,,,,False,
CG_00159,False,,,,,False,
CG_00612,False,,,,,False,
CG_00611,False,,,,,False,
CG_01119,False,,,,,False,
CG_01118,False,,,,,False,
CG_01117,True,inside_polygon,인천대정초등학교,학교,0.0,True,
CG_01041,False,,,,,False,
CG_01042,False,,,,,False,
CG_01073,False,,,,,False,
CG_01075,False,,,,,False,
CG_01074,False,,,,,False,
CG_00259,False,,,,,False,
CG_00260,False,,,,,False,
CG_00194,False,,,,,False,
CG_00192,False,,,,,False,
CG_00193,False,,,,,False,
CG_00238,True,inside_polygon,용현초등학교,학교,0.0,True,
CG_00237,False,,,,,False,
CG_00173,False,,,,,False,
CG_00212,False,,,,,False,
CG_00239,False,,,,,False,
CG_00172,False,,,,,False,
CG_00214,False,,,,,False,
CG_00215,False,,,,,False,
CG_00213,False,,,,,False,
CG_01105,False,,,,,False,
CG_01103,True,inside_polygon_buffer,성리중학교,학교,2.4,True,
CG_01102,False,,,,,False,
CG_01060,False,,,,,False,
CG_01058,False,,,,,False,
CG_01059,False,,,,,False,
CG_01057,False,,,,,False,
CG_01028,False,,,,,False,
CG_01149,False,,,,,False,
CG_01151,False,,,,,False,
CG_01150,False,,,,,False,
CG_01148,False,,,,,False,
CG_01026,False,,,,,False,
CG_01027,False,,,,,False,
CG_01104,False,,,,,False,
CG_00568,False,,,,,False,
CG_00519,False,,,,,False,
CG_00518,False,,,,,False,
CG_00567,False,,,,,False,
CG_00517,False,,,,,False,
CG_00478,False,,,,,False,
CG_01454,False,,,,,False,
CG_01560,True,inside_polygon_buffer,부평여자중학교,학교,9.6,True,
CG_01458,False,,,,,False,
CG_01531,True,inside_polygon_buffer,인천부흥고등학교,학교,5.2,True,
CG_01497,True,within_point_radius,인천부개서초등학교,초등학교,48.2,False,50m_school
