학교ID,학교명,위도,경도,소재지도로명주소,시도교육청명
B000003069,인천박문초등학교,37.403119,126.6654985,인천광역시 연수구 봉재산로 138-22,인천광역시교육청
B000003022,인천상정초등학교,37.47985202,126.6988075,인천광역시 부평구 상정로 50,인천광역시교육청
B000002973,인천용일초등학교,37.45245007,126.6633622,인천광역시 미추홀구 인주대로 244,인천광역시교육청
B000003155,인천목향초등학교,37.61620512,126.6943003,인천광역시 서구 고산후로 377,인천광역시교육청
B000003089,인천고잔초등학교,37.3929197,126.7285336,인천광역시 남동구 아암대로1503번길 48,인천광역시교육청
B000003096,인천소래초등학교,37.4044376,126.7343599,인천광역시 남동구 장도로 2,인천광역시교육청
B000002977,인천백학초등학교,37.43892166,126.671948,인천광역시 미추홀구 매소홀로446번길 25,인천광역시교육청
B000003056,인천청학초등학교,37.41996839,126.6704681,인천광역시 연수구 함박뫼로 25,인천광역시교육청
B000003073,인천정각초등학교,37.45604107,126.7152654,인천광역시 남동구 구월로 228,인천광역시교육청
B000003130,인천명현초등학교,37.53190716,126.7126128,인천광역시 계양구 봉오대로569번길 10,인천광역시교육청
B000002974,인천용현초등학교,37.45311116,126.6408079,인천광역시 미추홀구 낙섬동로 83,인천광역시교육청
B000003151,인천능내초등학교,37.60244235,126.6665079,인천광역시 서구 검단로540번길 23,인천광역시교육청
B000003058,인천연성초등학교,37.40852626,126.6793816,인천광역시 연수구 원인재로 116,인천광역시교육청
B000003062,인천연수초등학교,37.42225853,126.6949016,인천광역시 연수구 원인재로 324,인천광역시교육청
B000003080,인천동부초등학교,37.46304522,126.7275621,인천광역시 남동구 만수서로33번길 25,인천광역시교육청
B000003154,인천불로초등학교,37.61381127,126.6888476,인천광역시 서구 검단로744번1길 50,인천광역시교육청
B000003181,송해초등학교,37.7694551,126.4610541,인천광역시 강화군 송해면 전망대로 93-12,인천광역시교육청
B000003145,인천천마초등학교,37.5048986,126.6793047,인천광역시 서구 서달로 58-5,인천광역시교육청
B000003018,인천부개서초등학교,37.48977696,126.7343965,인천광역시 부평구 부일로 39,인천광역시교육청
B000003188,내가초등학교,37.72149999,126.3913304,인천광역시 강화군 내가면 강화서로 264,인천광역시교육청
B000002954,인천용유초등학교,37.44822388,126.4123542,인천광역시 중구 남북로87번길 4,인천광역시교육청
B000002978,인천도화초등학교,37.46314321,126.667845,인천광역시 미추홀구 경인로 242,인천광역시교육청
B000003043,인천개흥초등학교,37.50457552,126.7277395,인천광역시 부평구 길주남로65번길 11,인천광역시교육청
