학교ID,학교명,nearest_park_name,nearest_park_dist_m
B000003172,인천은지초등학교,허암공원,316.8
B000003021,인천금마초등학교,일신놀이공원,835.7
B000003008,인천마곡초등학교,성벽어린이공원,0.0
B000003071,인천성리초등학교,작은성말공원,300.9
B000003163,인천가좌초등학교,가좌공원,192.3
B000002970,영화초등학교,창영공원,305.1
B000003026,인천동수초등학교,만월공원,536.8
B000003149,인천봉화초등학교,감중공원,608.2
B000003039,인천백운초등학교,십정공원,303.2
B000003081,인천인수초등학교,아단공원,328.5
B000003078,인천석정초등학교,석정공원,107.8
B000003162,인천가석초등학교,서인공원,1323.0
B000025225,인천송빛초등학교,도담도담어린이공원(송도 15호 어린이공원),1276.8
B000003165,인천당하초등학교,당하지구3호 어린이공원,169.4
B000003108,인천효성남초등학교,효성공원,121.0
B000003118,인천양촌초등학교,양촌공원,400.2
B000025751,인천경연초등학교,황소자리공원,4.6
B000003037,인천하정초등학교,수정놀이공원,177.4
