유치원명,설립유형,주소,위도,경도,인가총정원수,만3세원아수,만4세원아수,만5세원아수,혼합원아수,총원아수
예그랑유치원,사립(사인),인천광역시 계양구 안남로554번길 25,37.53253469,126.7134788,96,15,15,45,0,75
예림유치원,사립(사인),인천광역시 계양구 아나지로197번길 4,37.52572289,126.7148233,86,17,26,36,0,79
예소담유치원,사립(사인),인천광역시 계양구 양지말2길 7,37.56200195,126.7555736,154,32,31,37,0,100
예원유치원,사립(사인),인천광역시 부평구 충선로 262,37.51264421,126.7357684,299,65,88,106,0,259
은현유치원,사립(사인),인천광역시 부평구 길주남로125번길 12,37.50455095,126.7358947,128,20,14,16,0,50
이든유치원,사립(사인),인천광역시 부평구 부개로 58,37.50079445,126.740217,160,38,50,72,0,160
이바유치원,사립(사인),인천광역시 부평구 마장로168번길 17,37.49367727,126.7052186,96,0,48,48,0,96
이화유치원,사립(사인),인천광역시 부평구 원적로 361,37.5043501,126.7073307,125,29,49,47,0,125
인천갈월초등학교병설유치원,공립(병설),인천광역시 부평구 주부토로 165,37.51018325,126.7252099,15,0,0,0,5,5
인천계양초등학교병설유치원,공립(병설),인천광역시 계양구 장제로 1288,37.579034,126.7332478,48,9,5,4,0,18
인천굴포초등학교병설유치원,공립(병설),인천광역시 부평구 충선로234번길 19,37.51102655,126.7369234,52,10,10,16,0,36
인천귤현초등학교병설유치원,공립(병설),인천광역시 계양구 귤현길 15,37.56849385,126.748676,30,0,0,0,13,13
인천금마초등학교병설유치원,공립(병설),인천광역시 부평구 일신로 88,37.47848516,126.7492925,15,0,0,0,2,2
인천길주초등학교병설유치원,공립(병설),인천광역시 계양구 용종로 90,37.54202089,126.7427888,36,0,16,9,0,25
인천당산초등학교병설유치원,공립(병설),인천광역시 계양구 동양로 122,37.5586973,126.7595317,48,5,5,7,0,17
인천동암초등학교병설유치원,공립(병설),인천광역시 부평구 동암남로35번길 4,37.471897,126.7071751,15,0,0,0,3,3
인천마곡초등학교병설유치원,공립(병설),인천광역시 부평구 마곡로27번길 16,37.51206357,126.6978366,30,0,0,0,8,8
인천명현초등학교병설유치원,공립(병설),인천광역시 계양구 봉오대로569번길 10,37.53196289,126.7126133,36,0,6,8,0,14
인천미산초등학교병설유치원,공립(병설),인천광역시 부평구 원적로 391,37.50454062,126.7098014,15,0,0,0,3,3
