grid_id,cx,cy,pred_beneficiary_2029,pred_beneficiary_2031,parent_1km_code,w_hat,gu,priority_score,candidate_rank,nearest_park_dist,nearest_pg_dist,worst_case_type,avg_park_dist_m,avg_playground_count,land_feasibility_level,linked_schools,linked_school_count,candidate_child_current,priority_score_mixed,candidate_rank_mixed,demand_model_version,redev_flag,redev_level,redev_warning_text,avg_green_ratio,demand_scope,demand_status,resident_children_current,straight_500m_children_current,demand_label,demand_note,xgb_predicted_2029,forecast_2029,potential_demand_2029,xgb_predicted_2031,forecast_2031,potential_demand_2031
CG_01294,126.72067830000049,37.5006288999998,36.83,33.0,다사3144,0.07335006515626535,남동구,972.25,131,0.0,501.3,1.0,580.6,0.0,high,"[""['인천부원초등학교' '인천부평동초등학교']""]",2,46.11,972.25,131,source_allocation_v2_20260911,True,unknown,500m 내 재개발 1건: unknown(477m),0.221542,straight_500m,estimated,46.11,1270.19,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,36.83,36.83,1014.47,33.0,33.0,908.92
CG_01324,126.72292830000049,37.5006288999998,74.11,66.4,다사3144,0.06466944038408698,남동구,907.1279999999999,156,373.0,720.0,1.0,580.6,0.0,high,"[""['인천부원초등학교' '인천부평동초등학교']""]",2,92.79,907.1279999999999,156,source_allocation_v2_20260911,False,none,,0.221542,straight_500m,estimated,92.79,1185.12,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,74.11,74.11,946.52,66.4,66.4,848.04
CG_01012,126.70267830000046,37.50962889999979,18.11,16.23,다사2945,0.015943787091305506,남동구,587.038,445,447.0,532.8,1.0,491.133,0.0,high,"[""['인천부마초등학교' '인천산곡초등학교' '인천산곡북초등학교']""]",3,22.68,587.038,445,source_allocation_v2_20260911,True,planned,500m 내 재개발 1건: planned(352m),0.297186,straight_500m,estimated,22.68,766.94,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,18.11,18.11,612.53,16.23,16.23,548.8
CG_01326,126.72292830000049,37.5051288999998,61.25,54.88,다사3145,0.11790673189181,남동구,654.784,357,607.6,819.5,1.0,486.1,0.0,high,"[""['인천부원초등학교' '인천개흥초등학교']""]",2,76.69,654.784,357,source_allocation_v2_20260911,True,unknown,"500m 내 재개발 3건: unknown(67m), unknown(441m), unknown(382m)",1.700957,straight_500m,estimated,76.69,855.44,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,61.25,61.25,683.22,54.88,54.88,612.13
CG_00483,126.6666783000004,37.51412889999978,31.97,28.64,다사2646,0.005987417137802294,서구,430.438,772,1147.7,5146.9,2.0,311.367,0.0,high,"[""['인천신현초등학교' '인천신석초등학교' '인천신현북초등학교']""]",3,40.03,430.438,772,source_allocation_v2_20260911,True,unknown,"500m 내 재개발 3건: unknown(19m), unknown(329m), unknown(307m)",3.281259,straight_500m,estimated,40.03,562.35,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,31.97,31.97,449.13,28.64,28.64,402.4
CG_01423,126.7296783000005,37.49837889999981,68.87,61.7,다사3144,0.07734540850650252,부평구,1084.1,85,204.2,5029.5,2.0,285.55,0.0,medium,"[""['인천부흥초등학교' '인천부평동초등학교']""]",2,86.23,1084.1,85,source_allocation_v2_20260911,True,unknown,500m 내 재개발 1건: unknown(345m),0.534219,straight_500m,estimated,86.23,1416.32,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,68.87,68.87,1131.18,61.7,61.7,1013.48
CG_01385,126.7274283000005,37.49837889999981,65.08,58.31,다사3144,0.038725856044485446,계양구,1073.12,89,608.1,7383.0,2.0,285.55,0.0,medium,"[""['인천부흥초등학교' '인천부평동초등학교']""]",2,81.48,1073.12,89,source_allocation_v2_20260911,False,none,,0.534219,straight_500m,estimated,81.48,1401.98,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,65.08,65.08,1119.72,58.31,58.31,1003.22
CG_01383,126.7274283000005,37.493878899999814,47.5,42.56,다사3144,0.004985328857459416,부평구,833.398,196,257.6,6036.7,2.0,233.05,0.0,medium,"[""['인천부흥초등학교' '인천부평서초등학교']""]",2,59.47,833.398,196,source_allocation_v2_20260911,False,none,,0.415598,straight_500m,estimated,59.47,1088.79,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,47.5,47.5,869.59,42.56,42.56,779.11
CG_01154,126.71167830000047,37.46237889999986,54.15,48.52,다사3040,0.06142753757613233,서구,806.708,223,158.1,16131.3,2.0,364.133,0.0,medium,"[""['인천간석초등학교' '상인천초등학교' '인천상아초등학교']""]",3,67.8,806.708,223,source_allocation_v2_20260911,True,planned,"500m 내 재개발 2건: planned(440m), unknown(151m)",0.658553,straight_500m,estimated,67.8,1053.92,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,54.15,54.15,841.74,48.52,48.52,754.16
CG_01153,126.71167830000047,37.460128899999866,63.87,57.22,다사3040,0.0025541499375055033,계양구,898.51,159,874.8,10146.4,2.0,364.133,0.0,medium,"[""['인천간석초등학교' '상인천초등학교' '인천상아초등학교']""]",3,79.97,898.51,159,source_allocation_v2_20260911,True,unknown,"500m 내 재개발 2건: unknown(205m), unknown(467m)",0.658553,straight_500m,estimated,79.97,1173.86,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,63.87,63.87,937.53,57.22,57.22,839.98
CG_01213,126.71617830000048,37.45787889999987,41.7,37.36,다사3040,0.06681688724716277,부평구,1003.302,115,759.9,4444.1,2.0,318.4,0.0,medium,"[""['인천간석초등학교' '인천상아초등학교' '인천정각초등학교']""]",3,52.21,1003.302,115,source_allocation_v2_20260911,False,none,,0.480092,straight_500m,estimated,52.21,1310.76,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,41.7,41.7,1046.87,37.36,37.36,937.95
CG_01189,126.71392830000048,37.460128899999866,65.99,59.13,다사3040,0.042959001672862325,계양구,832.2860000000001,198,809.8,10054.4,2.0,318.4,0.0,medium,"[""['인천간석초등학교' '인천상아초등학교' '인천정각초등학교']""]",3,82.63,832.2860000000001,198,source_allocation_v2_20260911,True,unknown,500m 내 재개발 1건: unknown(362m),0.480092,straight_500m,estimated,82.63,1087.34,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,65.99,65.99,868.43,59.13,59.13,778.07
CG_01188,126.71392830000048,37.45787889999987,79.74,71.44,다사3040,0.03410509404344948,계양구,1168.126,66,414.8,9535.1,2.0,318.4,0.0,medium,"[""['인천간석초등학교' '인천상아초등학교' '인천정각초등학교']""]",3,99.84,1168.126,66,source_allocation_v2_20260911,False,none,,0.480092,straight_500m,estimated,99.84,1526.1,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,79.74,79.74,1218.85,71.44,71.44,1092.04
CG_01214,126.71617830000048,37.460128899999866,45.87,41.1,다사3040,0.0956919849073177,부평구,722.2660000000001,291,752.2,4705.5,2.0,318.4,0.0,medium,"[""['인천간석초등학교' '인천상아초등학교' '인천정각초등학교']""]",3,57.43,722.2660000000001,291,source_allocation_v2_20260911,False,none,,0.480092,straight_500m,estimated,57.43,943.61,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,45.87,45.87,753.63,41.1,41.1,675.22
CG_01187,126.71392830000048,37.45562889999987,112.97,101.22,다사3039,0.04021505646791107,계양구,1452.4180000000001,23,293.7,9370.4,2.0,318.4,0.0,medium,"[""['인천간석초등학교' '인천상아초등학교' '인천정각초등학교']""]",3,141.45,1452.4180000000001,23,source_allocation_v2_20260911,True,unknown,500m 내 재개발 1건: unknown(485m),0.480092,straight_500m,estimated,141.45,1897.51,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,112.97,112.97,1515.49,101.22,101.22,1357.81
CG_01411,126.7296783000005,37.460128899999866,66.7,59.76,다사3140,0.05622946864791777,남동구,758.712,258,325.4,584.9,2.0,224.133,0.667,medium,"[""['인천만수북초등학교' '인천새말초등학교' '인천동부초등학교']""]",3,83.51,758.712,258,source_allocation_v2_20260911,True,unknown,"500m 내 재개발 2건: unknown(341m), unknown(303m)",1.11231,straight_500m,estimated,83.51,991.22,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,66.7,66.7,791.66,59.76,59.76,709.29
CG_00262,126.64417830000036,37.47137889999985,3.85,3.45,다사2441,0.024725352429111537,연수구,199.35399999999998,1249,1381.2,3977.9,1.0,377.125,0.0,high,"[""['인천서림초등학교' '인천창영초등학교' '인천동명초등학교' '영화초등학교']""]",4,4.82,199.35399999999998,1249,source_allocation_v2_20260911,True,planned,"500m 내 재개발 6건: unknown(409m), planned(115m), planned(467m)",0.589459,straight_500m,estimated,4.82,260.45,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,3.85,3.85,208.01,3.45,3.45,186.37
CG_00453,126.6644283000004,37.51637889999978,46.06,41.27,다사2646,0.05724675887205533,미추홀구,,,799.5,2906.6,2.0,407.05,0.0,high,"[""['인천신현초등학교' '인천신현북초등학교']""]",2,57.67,,,source_allocation_v2_20260911,True,unknown,"500m 내 재개발 2건: unknown(301m), unknown(388m)",1.249538,straight_500m,missing_age_observations,57.67,,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,46.06,46.06,,41.27,41.27,
CG_00573,126.6711783000004,37.51637889999978,34.93,31.3,다사2646,0.028003261876964128,연수구,651.462,362,751.0,973.1,2.0,407.05,0.0,high,"[""['인천신현초등학교' '인천신현북초등학교']""]",2,43.74,651.462,362,source_allocation_v2_20260911,True,unknown,"500m 내 재개발 3건: unknown(468m), unknown(371m), unknown(150m)",1.249538,straight_500m,estimated,43.74,851.1,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,34.93,34.93,679.75,31.3,31.3,609.03
CG_00574,126.6711783000004,37.518628899999776,87.02,77.97,다사2646,0.07346991466383831,연수구,1089.73,84,604.9,838.7,2.0,407.05,0.0,high,"[""['인천신현초등학교' '인천신현북초등학교']""]",2,108.96,1089.73,84,source_allocation_v2_20260911,True,unknown,"500m 내 재개발 2건: unknown(404m), unknown(377m)",1.249538,straight_500m,estimated,108.96,1423.68,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,87.02,87.02,1137.05,77.97,77.97,1018.75
CG_00484,126.6666783000004,37.51637889999978,36.91,33.07,다사2646,0.005430671128662011,서구,511.57399999999996,588,923.5,5130.8,2.0,407.05,0.0,high,"[""['인천신현초등학교' '인천신현북초등학교']""]",2,46.22,511.57399999999996,588,source_allocation_v2_20260911,True,unknown,"500m 내 재개발 3건: unknown(233m), unknown(321m), unknown(471m)",1.249538,straight_500m,estimated,46.22,668.35,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,36.91,36.91,533.79,33.07,33.07,478.25
CG_00522,126.6689283000004,37.51412889999978,18.31,16.4,다사2646,0.06967818433980381,서구,493.498,632,587.1,6862.2,2.0,407.05,0.0,high,"[""['인천신현초등학교' '인천신현북초등학교']""]",2,22.92,493.498,632,source_allocation_v2_20260911,True,unknown,"500m 내 재개발 3건: unknown(208m), unknown(169m), unknown(495m)",1.249538,straight_500m,estimated,22.92,644.73,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,18.31,18.31,514.93,16.4,16.4,461.35
CG_00523,126.6689283000004,37.51637889999978,26.92,24.11,다사2646,0.04605107817470511,서구,657.766,350,1124.6,7419.2,2.0,407.05,0.0,high,"[""['인천신현초등학교' '인천신현북초등학교']""]",2,33.7,657.766,350,source_allocation_v2_20260911,True,unknown,"500m 내 재개발 2건: unknown(311m), unknown(153m)",1.249538,straight_500m,estimated,33.7,859.34,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,26.92,26.92,686.33,24.11,24.11,614.92
