학교ID,학교명,gu,current_students_2025,forecast_2029,forecast_2031,predicted_2029,predicted_2031,cohort_change_2029,cohort_change_2031,selected_model,model_version,validation_scheme,one_year_r2,one_year_mae,mid_term_r2,mid_term_mae
B000003086,인천동방초등학교,남동구,511,235,114,235.0,114.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003080,인천동부초등학교,남동구,414,304,245,304.0,245.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003079,인천만수북초등학교,남동구,607,296,161,296.0,161.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003082,인천만수초등학교,남동구,200,163,140,163.0,140.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000025193,인천만월초등학교,남동구,1019,631,408,631.0,408.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003088,인천사리울초등학교,남동구,519,368,302,368.0,302.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003076,인천상아초등학교,남동구,630,371,240,371.0,240.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003099,인천새말초등학교,남동구,358,239,204,239.0,204.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003105,인천서창초등학교,남동구,735,367,155,367.0,155.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003078,인천석정초등학교,남동구,793,616,517,616.0,517.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003093,인천석천초등학교,남동구,982,768,639,768.0,639.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003071,인천성리초등학교,남동구,557,343,238,343.0,238.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003096,인천소래초등학교,남동구,505,390,325,390.0,325.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003092,인천송천초등학교,남동구,320,178,149,178.0,149.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003094,인천신월초등학교,남동구,223,141,125,141.0,125.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003090,인천약산초등학교,남동구,587,447,367,447.0,367.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003087,인천원동초등학교,남동구,850,376,173,376.0,173.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003084,인천은봉초등학교,남동구,362,236,182,236.0,182.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003101,인천인동초등학교,남동구,771,448,303,448.0,303.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003081,인천인수초등학교,남동구,252,149,91,149.0,91.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003085,인천장도초등학교,남동구,267,150,95,150.0,95.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000025196,인천장서초등학교,남동구,1358,1138,998,1138.0,998.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003102,인천장수초등학교,남동구,103,21,9,21.0,9.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000025202,인천장아초등학교,남동구,896,748,643,748.0,643.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003073,인천정각초등학교,남동구,950,546,321,546.0,321.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003100,인천조동초등학교,남동구,387,216,138,216.0,138.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003091,인천주원초등학교,남동구,242,170,133,170.0,133.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000022832,인천한빛초등학교,남동구,923,586,426,586.0,426.0,0.4707510503206492,0.2571381390250187,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000002970,영화초등학교,동구,373,376,412,376.0,412.0,0.4896104184286771,0.2874765092065711,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000002969,인천동명초등학교,동구,438,408,403,408.0,403.0,0.4896104184286771,0.2874765092065711,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000002963,인천만석초등학교,동구,263,103,43,103.0,43.0,0.4896104184286771,0.2874765092065711,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000002968,인천서림초등학교,동구,488,303,229,303.0,229.0,0.4896104184286771,0.2874765092065711,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000002967,인천서흥초등학교,동구,329,162,118,162.0,118.0,0.4896104184286771,0.2874765092065711,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000002966,인천송림초등학교,동구,434,454,387,454.0,387.0,0.4896104184286771,0.2874765092065711,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000002964,인천송현초등학교,동구,347,151,75,151.0,75.0,0.4896104184286771,0.2874765092065711,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000002965,인천창영초등학교,동구,244,243,236,243.0,236.0,0.4896104184286771,0.2874765092065711,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000002981,인천경원초등학교,미추홀구,941,645,504,645.0,504.0,0.90451993467452,0.8662626373940179,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
